policy,job_id,site,node,queued_at,started_at,ended_at,wait_s,runtime_s,queue_seconds,energy_kwh,carbon_kg
carbonscaler,000,C,themis-worker2,2025-11-02T13:07:53+00:00,2025-11-02T13:07:53+00:00,2025-11-02T13:11:55+00:00,0.0,242.0,0.0,0.006286666666666666,0.000448868
carbonscaler,001,B,themis-control-plane,2025-11-02T13:07:53+00:00,2025-11-02T13:07:53+00:00,2025-11-02T13:11:58+00:00,0.0,245.0,0.0,0.006767863247863248,0.0013156726153846154
carbonscaler,002,C,themis-worker2,2025-11-02T13:07:54+00:00,2025-11-02T13:07:54+00:00,2025-11-02T13:11:29+00:00,0.0,215.0,238.636436004,0.005500833333333333,0.0003927595000000001
carbonscaler,003,C,themis-worker2,2025-11-02T13:07:54+00:00,2025-11-02T13:07:55+00:00,2025-11-02T13:11:34+00:00,1.0,219.0,208.727889489,0.005500833333333333,0.0003927595000000001
carbonscaler,004,C,themis-worker2,2025-11-02T13:07:55+00:00,2025-11-02T13:07:57+00:00,2025-11-02T13:11:06+00:00,2.0,189.0,207.96223407,0.0047150000000000004,0.0003366510000000001
carbonscaler,005,C,themis-worker2,2025-11-02T13:07:57+00:00,2025-11-02T13:07:58+00:00,2025-11-02T13:11:09+00:00,1.0,191.0,206.667337888,0.0047150000000000004,0.0003366510000000001
carbonscaler,006,C,themis-worker2,2025-11-02T13:07:57+00:00,2025-11-02T13:07:59+00:00,2025-11-02T13:10:39+00:00,2.0,160.0,178.66186099,0.003929166666666667,0.0002805425
carbonscaler,007,C,themis-worker2,2025-11-02T13:07:58+00:00,2025-11-02T13:07:59+00:00,2025-11-02T13:10:39+00:00,1.0,160.0,178.120112537,0.003929166666666667,0.0002805425
carbonscaler,008,C,themis-worker2,2025-11-02T13:13:19+00:00,2025-11-02T13:13:19+00:00,2025-11-02T13:16:51+00:00,0.0,212.0,26.904651143,0.005500833333333333,0.0003927595000000001
carbonscaler,009,B,themis-control-plane,2025-11-02T13:13:17+00:00,2025-11-02T13:13:17+00:00,2025-11-02T13:16:49+00:00,0.0,212.0,0.0,0.005921880341880341,0.0011512135384615385
carbonscaler,010,B,themis-control-plane,2025-11-02T13:08:00+00:00,2025-11-02T13:08:01+00:00,2025-11-02T13:11:07+00:00,1.0,186.0,232.009696439,0.0050758974358974356,0.0009867544615384616
carbonscaler,011,B,themis-control-plane,2025-11-02T13:08:01+00:00,2025-11-02T13:08:02+00:00,2025-11-02T13:11:09+00:00,1.0,187.0,178.413109154,0.0050758974358974356,0.0009867544615384616
carbonscaler,012,C,themis-worker2,2025-11-02T13:10:39+00:00,2025-11-02T13:10:43+00:00,2025-11-02T13:13:17+00:00,4.0,154.0,16.937282699,0.003929166666666667,0.0002805425
carbonscaler,013,C,themis-worker2,2025-11-02T13:13:27+00:00,2025-11-02T13:13:27+00:00,2025-11-02T13:15:59+00:00,0.0,152.0,18.963707853,0.003929166666666667,0.0002805425
carbonscaler,014,B,themis-control-plane,2025-11-02T13:08:03+00:00,2025-11-02T13:08:06+00:00,2025-11-02T13:11:45+00:00,3.0,219.0,175.955676378,0.005921880341880341,0.0011512135384615385
carbonscaler,015,B,themis-control-plane,2025-11-02T13:08:04+00:00,2025-11-02T13:08:06+00:00,2025-11-02T13:11:45+00:00,2.0,219.0,175.326860303,0.005921880341880341,0.0011512135384615385
carbonscaler,016,B,themis-control-plane,2025-11-02T13:08:05+00:00,2025-11-02T13:08:08+00:00,2025-11-02T13:11:16+00:00,3.0,188.0,174.353708056,0.0050758974358974356,0.0009867544615384616
carbonscaler,017,C,themis-worker2,2025-11-02T13:10:44+00:00,2025-11-02T13:10:46+00:00,2025-11-02T13:13:49+00:00,2.0,183.0,12.091904439,0.0047150000000000004,0.0003366510000000001
