policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
hetpolicy,000,B,themis-control-plane,2025-11-18T12:34:24+00:00,2025-11-18T12:34:24+00:00,2025-11-18T12:34:38+00:00,2025-11-18T12:34:24+00:00,2025-11-18T12:34:24+00:00,2025-11-18T12:34:38+00:00,0.0,14.0,0.0,0.00011231309363225585,0.11231309363225585,1.4151449797664237e-05,0.014151449797664237,0.014151449797664237,0.014151449797664237,kubernetes
hetpolicy,001,B,themis-control-plane,2025-11-18T12:34:24+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:41+00:00,2025-11-18T12:34:24+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:41+00:00,1.0,16.0,9.252420315,0.00011231309363225585,0.11231309363225585,1.4151449797664237e-05,0.014151449797664237,0.014151449797664237,0.014151449797664237,kubernetes
hetpolicy,002,B,themis-control-plane,2025-11-18T12:34:25+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:44+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:25+00:00,2025-11-18T12:34:44+00:00,0.0,19.0,8.362927904,0.00011231309363225585,0.11231309363225585,1.4151449797664237e-05,0.014151449797664237,0.014151449797664237,0.014151449797664237,kubernetes
hetpolicy,003,B,themis-control-plane,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:45+00:00,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:45+00:00,1.0,18.0,7.635979954,0.00011231309363225585,0.11231309363225585,1.4151449797664237e-05,0.014151449797664237,0.014151449797664237,0.014151449797664237,kubernetes
hetpolicy,004,B,themis-control-plane,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:46+00:00,2025-11-18T12:34:26+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:46+00:00,1.0,19.0,6.878972806,0.00011231309363225585,0.11231309363225585,1.4151449797664237e-05,0.014151449797664237,0.014151449797664237,0.014151449797664237,kubernetes
hetpolicy,005,B,themis-control-plane,2025-11-18T12:34:27+00:00,2025-11-18T12:34:29+00:00,2025-11-18T12:34:47+00:00,2025-11-18T12:34:27+00:00,2025-11-18T12:34:29+00:00,2025-11-18T12:34:47+00:00,2.0,18.0,6.217412152,0.00011231309363225585,0.11231309363225585,1.4151449797664237e-05,0.014151449797664237,0.014151449797664237,0.014151449797664237,kubernetes
hetpolicy,006,B,themis-control-plane,2025-11-18T12:33:06+00:00,2025-11-18T12:33:12+00:00,2025-11-18T12:33:36+00:00,2025-11-18T12:33:06+00:00,2025-11-18T12:33:12+00:00,2025-11-18T12:33:36+00:00,6.0,24.0,2.145870185,0.00011231309363225585,0.11231309363225585,1.4151449797664237e-05,0.014151449797664237,0.014151449797664237,0.014151449797664237,kubernetes
hetpolicy,007,A,themis-worker,2025-11-18T12:34:40+00:00,2025-11-18T12:34:44+00:00,2025-11-18T12:34:54+00:00,2025-11-18T12:34:40+00:00,2025-11-18T12:34:44+00:00,2025-11-18T12:34:54+00:00,4.0,10.0,4.653986937,0.0004004010534081287,0.4004010534081287,0.00019371402963885262,0.19371402963885262,0.19371402963885262,0.19371402963885262,kubernetes
hetpolicy,008,A,themis-worker,2025-11-18T12:34:41+00:00,2025-11-18T12:34:47+00:00,2025-11-18T12:34:57+00:00,2025-11-18T12:34:41+00:00,2025-11-18T12:34:47+00:00,2025-11-18T12:34:57+00:00,6.0,10.0,3.335527521,0.0004004010534081287,0.4004010534081287,0.00019371402963885262,0.19371402963885262,0.19371402963885262,0.19371402963885262,kubernetes
hetpolicy,009,A,themis-worker,2025-11-18T12:34:43+00:00,2025-11-18T12:34:51+00:00,2025-11-18T12:35:01+00:00,2025-11-18T12:34:43+00:00,2025-11-18T12:34:51+00:00,2025-11-18T12:35:01+00:00,8.0,10.0,0.91930216,0.0004004010534081287,0.4004010534081287,0.00019371402963885262,0.19371402963885262,0.19371402963885262,0.19371402963885262,kubernetes
