policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
k8s,000,B,themis-control-plane,2025-11-18T12:37:59+00:00,2025-11-18T12:38:00+00:00,2025-11-18T12:38:12+00:00,2025-11-18T12:37:59+00:00,2025-11-18T12:38:00+00:00,2025-11-18T12:38:12+00:00,1.0,12.0,1.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,001,B,themis-control-plane,2025-11-18T12:36:49+00:00,2025-11-18T12:37:01+00:00,2025-11-18T12:37:20+00:00,2025-11-18T12:36:49+00:00,2025-11-18T12:37:01+00:00,2025-11-18T12:37:20+00:00,12.0,19.0,12.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,002,A,hetsched-worker,2025-11-18T12:38:11+00:00,2025-11-18T12:38:12+00:00,2025-11-18T12:38:22+00:00,2025-11-18T12:38:11+00:00,2025-11-18T12:38:12+00:00,2025-11-18T12:38:22+00:00,1.0,10.0,1.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,002be6e6-5598-43df-88e5-ec3a10c66770,A,hetsched-worker,2025-11-18T12:36:36+00:00,2025-11-18T12:36:54+00:00,2025-11-18T12:37:54+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:36:54+00:00,2025-11-18T12:37:54+00:00,18.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,kubernetes
k8s,003,A,hetsched-worker,2025-11-18T12:38:12+00:00,2025-11-18T12:38:14+00:00,2025-11-18T12:38:24+00:00,2025-11-18T12:38:12+00:00,2025-11-18T12:38:14+00:00,2025-11-18T12:38:24+00:00,2.0,10.0,2.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,004,A,hetsched-worker,2025-11-18T12:38:13+00:00,2025-11-18T12:38:16+00:00,2025-11-18T12:38:26+00:00,2025-11-18T12:38:13+00:00,2025-11-18T12:38:16+00:00,2025-11-18T12:38:26+00:00,3.0,10.0,3.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,005,B,themis-control-plane,2025-11-18T12:38:03+00:00,2025-11-18T12:38:03+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:03+00:00,2025-11-18T12:38:03+00:00,2025-11-18T12:38:19+00:00,0.0,16.0,6.880309766,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,006,B,themis-control-plane,2025-11-18T12:38:03+00:00,2025-11-18T12:38:04+00:00,2025-11-18T12:38:18+00:00,2025-11-18T12:38:03+00:00,2025-11-18T12:38:04+00:00,2025-11-18T12:38:18+00:00,1.0,14.0,6.26233345,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,007,B,themis-control-plane,2025-11-18T12:38:04+00:00,2025-11-18T12:38:04+00:00,2025-11-18T12:38:20+00:00,2025-11-18T12:38:04+00:00,2025-11-18T12:38:04+00:00,2025-11-18T12:38:20+00:00,0.0,16.0,5.749792469,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,008,B,themis-control-plane,2025-11-18T12:38:15+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:33+00:00,2025-11-18T12:38:15+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:33+00:00,4.0,14.0,6.261436147,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,009,A,hetsched-worker,2025-11-18T12:38:15+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:29+00:00,2025-11-18T12:38:15+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:29+00:00,4.0,10.0,4.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,010,B,themis-control-plane,2025-11-18T12:38:06+00:00,2025-11-18T12:38:07+00:00,2025-11-18T12:38:21+00:00,2025-11-18T12:38:06+00:00,2025-11-18T12:38:07+00:00,2025-11-18T12:38:21+00:00,1.0,14.0,3.3887915619999998,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,011,C,hetsched-worker2,2025-11-18T12:38:18+00:00,2025-11-18T12:38:24+00:00,2025-11-18T12:38:34+00:00,2025-11-18T12:38:18+00:00,2025-11-18T12:38:24+00:00,2025-11-18T12:38:34+00:00,6.0,10.0,6.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,012,A,hetsched-worker,2025-11-18T12:38:19+00:00,2025-11-18T12:38:26+00:00,2025-11-18T12:38:36+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:26+00:00,2025-11-18T12:38:36+00:00,7.0,10.0,7.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,013,A,hetsched-worker,2025-11-18T12:38:18+00:00,2025-11-18T12:38:23+00:00,2025-11-18T12:38:33+00:00,2025-11-18T12:38:18+00:00,2025-11-18T12:38:23+00:00,2025-11-18T12:38:33+00:00,5.0,10.0,5.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,014,C,hetsched-worker2,2025-11-18T12:38:20+00:00,2025-11-18T12:38:27+00:00,2025-11-18T12:38:37+00:00,2025-11-18T12:38:20+00:00,2025-11-18T12:38:27+00:00,2025-11-18T12:38:37+00:00,7.0,10.0,7.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,015,B,themis-control-plane,2025-11-18T12:38:22+00:00,2025-11-18T12:38:31+00:00,2025-11-18T12:38:41+00:00,2025-11-18T12:38:22+00:00,2025-11-18T12:38:31+00:00,2025-11-18T12:38:41+00:00,9.0,10.0,9.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,016,C,hetsched-worker2,2025-11-18T12:38:24+00:00,2025-11-18T12:38:34+00:00,2025-11-18T12:38:44+00:00,2025-11-18T12:38:24+00:00,2025-11-18T12:38:34+00:00,2025-11-18T12:38:44+00:00,10.0,10.0,10.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,017,B,themis-control-plane,2025-11-18T12:38:11+00:00,2025-11-18T12:38:14+00:00,2025-11-18T12:38:28+00:00,2025-11-18T12:38:11+00:00,2025-11-18T12:38:14+00:00,2025-11-18T12:38:28+00:00,3.0,14.0,0.887269759,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,018,A,hetsched-worker,2025-11-18T12:38:26+00:00,2025-11-18T12:38:37+00:00,2025-11-18T12:38:47+00:00,2025-11-18T12:38:26+00:00,2025-11-18T12:38:37+00:00,2025-11-18T12:38:47+00:00,11.0,10.0,11.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,019,B,themis-control-plane,2025-11-18T12:38:27+00:00,2025-11-18T12:38:42+00:00,2025-11-18T12:38:52+00:00,2025-11-18T12:38:27+00:00,2025-11-18T12:38:42+00:00,2025-11-18T12:38:52+00:00,15.0,10.0,15.0,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,020,A,hetsched-worker,2025-11-18T12:38:28+00:00,2025-11-18T12:38:43+00:00,2025-11-18T12:38:53+00:00,2025-11-18T12:38:28+00:00,2025-11-18T12:38:43+00:00,2025-11-18T12:38:53+00:00,15.0,10.0,15.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,021,B,themis-control-plane,2025-11-18T12:38:15+00:00,2025-11-18T12:38:20+00:00,2025-11-18T12:38:30+00:00,2025-11-18T12:38:15+00:00,2025-11-18T12:38:20+00:00,2025-11-18T12:38:30+00:00,5.0,10.0,4.229394193,0.00044334115907469415,0.4433411590746942,0.0002593545780586961,0.2593545780586961,0.2593545780586961,0.2593545780586961,kubernetes
k8s,022,C,hetsched-worker2,2025-11-18T12:38:26+00:00,2025-11-18T12:38:41+00:00,2025-11-18T12:38:51+00:00,2025-11-18T12:38:26+00:00,2025-11-18T12:38:41+00:00,2025-11-18T12:38:51+00:00,15.0,10.0,15.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,023,C,hetsched-worker2,2025-11-18T12:38:16+00:00,2025-11-18T12:38:21+00:00,2025-11-18T12:38:31+00:00,2025-11-18T12:38:16+00:00,2025-11-18T12:38:21+00:00,2025-11-18T12:38:31+00:00,5.0,10.0,5.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,024,C,hetsched-worker2,2025-11-18T12:38:27+00:00,2025-11-18T12:38:41+00:00,2025-11-18T12:38:51+00:00,2025-11-18T12:38:27+00:00,2025-11-18T12:38:41+00:00,2025-11-18T12:38:51+00:00,14.0,10.0,14.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,025,C,hetsched-worker2,2025-11-18T12:38:18+00:00,2025-11-18T12:38:24+00:00,2025-11-18T12:38:34+00:00,2025-11-18T12:38:18+00:00,2025-11-18T12:38:24+00:00,2025-11-18T12:38:34+00:00,6.0,10.0,6.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,026,A,hetsched-worker,2025-11-18T12:38:19+00:00,2025-11-18T12:38:26+00:00,2025-11-18T12:38:36+00:00,2025-11-18T12:38:19+00:00,2025-11-18T12:38:26+00:00,2025-11-18T12:38:36+00:00,7.0,10.0,7.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
k8s,027,C,hetsched-worker2,2025-11-18T12:38:20+00:00,2025-11-18T12:38:27+00:00,2025-11-18T12:38:37+00:00,2025-11-18T12:38:20+00:00,2025-11-18T12:38:27+00:00,2025-11-18T12:38:37+00:00,7.0,10.0,7.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
