policy,ci_weight,batch_size,job_count,arrival_rate,warmup_min,theta_e,theta_c,total_ci_cost_g,avg_ci_per_job_g,carbon_median_g,carbon_iqr_g,cfp_g_per_cpu_hour,avg_wait_s,wait_median_s,wait_iqr_s,makespan_s,elapsed_ms,num_jobs,alpha,beta,gamma,alpha_mass,lookahead_min,duration_scale,duration_overrides,rep
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20771.971000,20771.971000,43903.857500,338017.000000,254.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,0
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.343000,338329.000000,355.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,0
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21356.560000,21356.560000,44093.372000,338259.000000,371.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,0
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20781.314000,20781.314000,42635.593000,342600.000000,383.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,0
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20760.973500,20760.973500,43873.466250,338017.000000,186.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,1
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21746.225500,21746.225500,42500.738750,338329.000000,273.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,1
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21303.245000,21303.245000,44058.955000,338259.000000,291.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,1
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20734.451000,20734.451000,42626.988750,342600.000000,345.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,1
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20771.289000,20771.289000,43869.849000,338017.000000,187.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,2
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21748.066000,21748.066000,42497.421500,338329.000000,272.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,2
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21312.818000,21312.818000,44045.686000,338259.000000,292.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,2
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20738.132000,20738.132000,42623.671500,342600.000000,374.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,2
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20772.778000,20772.778000,43886.770500,338017.000000,189.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,3
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21759.347000,21759.347000,42503.784500,338329.000000,278.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,3
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21337.954000,21337.954000,44071.138000,338259.000000,287.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,3
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20760.694000,20760.694000,42630.034500,342600.000000,353.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,3
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20767.521000,20767.521000,43903.757500,338017.000000,181.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,4
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42510.494000,338329.000000,272.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,4
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21335.023000,21335.023000,44097.976000,338259.000000,294.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,4
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20777.018000,20777.018000,42636.744000,342600.000000,358.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,4
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20771.294500,20771.294500,43901.341250,338017.000000,180.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,5
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42508.798500,338329.000000,270.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,5
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21345.158000,21345.158000,44091.194000,338259.000000,290.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,5
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20777.783000,20777.783000,42635.048500,342600.000000,362.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,5
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20773.148500,20773.148500,43903.842250,338017.000000,229.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,6
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.192000,338329.000000,270.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,6
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21357.322000,21357.322000,44092.768000,338259.000000,289.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,6
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20783.065000,20783.065000,42635.442000,342600.000000,358.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,6
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20774.910500,20774.910500,43888.044750,338017.000000,183.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,7
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21760.196500,21760.196500,42503.143000,338329.000000,269.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,7
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21201.276000,21201.276000,44068.572000,338259.000000,295.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,7
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20762.393000,20762.393000,42629.393000,342600.000000,345.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,7
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20727.139500,20727.139500,43892.278750,338017.000000,178.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,8
