backend,metric,policy,baseline,direction,A12,ci_low,ci_high
k8s,Energy (kWh),k8s-default,hetpolicy,lower,,,
k8s,Energy (kWh),carbonscaler,hetpolicy,lower,1.2222222222222223,0.9444444444444444,1.5
k8s,Energy (kWh),keids,hetpolicy,lower,,,
k8s,Energy (kWh),topsis,hetpolicy,lower,,,
k8s,Energy (kWh),hetpolicy,hetpolicy,lower,1.0,0.7592592592592593,1.2469135802469133
k8s,Carbon (gCO₂e),k8s-default,hetpolicy,lower,0.75,0.5,1.0
k8s,Carbon (gCO₂e),carbonscaler,hetpolicy,lower,0.9375,0.6597222222222222,1.1875
k8s,Carbon (gCO₂e),keids,hetpolicy,lower,0.625,0.5,0.75
k8s,Carbon (gCO₂e),topsis,hetpolicy,lower,0.75,0.5,1.0
k8s,Carbon (gCO₂e),hetpolicy,hetpolicy,lower,1.0,0.7673611111111112,1.2222222222222223
k8s,Makespan (min),k8s-default,hetpolicy,lower,1.5,1.5,1.5
k8s,Makespan (min),carbonscaler,hetpolicy,lower,1.0625,0.8055555555555556,1.2916666666666665
k8s,Makespan (min),keids,hetpolicy,lower,1.375,1.25,1.5
k8s,Makespan (min),topsis,hetpolicy,lower,1.5,1.5,1.5
k8s,Makespan (min),hetpolicy,hetpolicy,lower,1.0,0.7708333333333333,1.2291666666666665
k8s,Tail latency p95 (s),k8s-default,hetpolicy,lower,,,
k8s,Tail latency p95 (s),carbonscaler,hetpolicy,lower,0.7777777777777779,0.5,1.1111111111111112
k8s,Tail latency p95 (s),keids,hetpolicy,lower,,,
k8s,Tail latency p95 (s),topsis,hetpolicy,lower,,,
k8s,Tail latency p95 (s),hetpolicy,hetpolicy,lower,1.0,0.75,1.25
k8s,Energy per job (kWh),k8s-default,hetpolicy,lower,,,
k8s,Energy per job (kWh),carbonscaler,hetpolicy,lower,1.2222222222222223,0.9444444444444444,1.5
k8s,Energy per job (kWh),keids,hetpolicy,lower,,,
k8s,Energy per job (kWh),topsis,hetpolicy,lower,,,
k8s,Energy per job (kWh),hetpolicy,hetpolicy,lower,1.0,0.7530864197530864,1.2407407407407407
k8s,Carbon per job (g),k8s-default,hetpolicy,lower,0.75,0.5,1.0
k8s,Carbon per job (g),carbonscaler,hetpolicy,lower,0.9375,0.6597222222222222,1.1875
k8s,Carbon per job (g),keids,hetpolicy,lower,0.625,0.5,0.75
k8s,Carbon per job (g),topsis,hetpolicy,lower,0.75,0.5,1.0
k8s,Carbon per job (g),hetpolicy,hetpolicy,lower,1.0,0.7915798611111112,1.2083333333333335
k8s,Jobs per kWh,k8s-default,hetpolicy,higher,,,
k8s,Jobs per kWh,carbonscaler,hetpolicy,higher,0.7777777777777778,0.5,1.0555555555555556
k8s,Jobs per kWh,keids,hetpolicy,higher,,,
k8s,Jobs per kWh,topsis,hetpolicy,higher,,,
k8s,Jobs per kWh,hetpolicy,hetpolicy,higher,1.0,0.7530864197530864,1.2469135802469133
