Datetime (UTC),Carbon Intensity gCO₂eq/kWh (direct)
2023-01-01 00:00:00,177.45952413016624
2023-01-01 01:00:00,180.28169771463982
2023-01-01 02:00:00,185.0161200628694
2023-01-01 03:00:00,191.6918335314183
2023-01-01 04:00:00,195.6570689592881
2023-01-01 05:00:00,193.81075449563252
2023-01-01 06:00:00,192.06452680197242
2023-01-01 07:00:00,184.22206243277572
2023-01-01 08:00:00,173.02452533194818
2023-01-01 09:00:00,163.841294490929
2023-01-01 10:00:00,158.069122809181
2023-01-01 11:00:00,157.0087149610647
2023-01-01 12:00:00,160.47868972495309
2023-01-01 13:00:00,165.17566649205915
2023-01-01 14:00:00,164.965533461195
2023-01-01 15:00:00,159.1642376189424
2023-01-01 16:00:00,138.4405104789334
2023-01-01 17:00:00,138.0501045502677
2023-01-01 18:00:00,134.778390454273
2023-01-01 19:00:00,146.0168617554907
2023-01-01 20:00:00,149.41485620079362
2023-01-01 21:00:00,152.63325604194063
2023-01-01 22:00:00,154.14732059882311
2023-01-01 23:00:00,163.37422273654755
2023-01-02 00:00:00,163.2170537923056
2023-01-02 01:00:00,169.7248603925035
2023-01-02 02:00:00,173.82109413408045
2023-01-02 03:00:00,177.5117994815389
2023-01-02 04:00:00,178.98986499533163
2023-01-02 05:00:00,172.39795874062992
2023-01-02 06:00:00,179.1466933716987
2023-01-02 07:00:00,176.21434356877137
2023-01-02 08:00:00,188.43541860165374
2023-01-02 09:00:00,206.61077971219186
2023-01-02 10:00:00,206.85590851773784
2023-01-02 11:00:00,203.02965120653562
2023-01-02 12:00:00,202.75639611035808
2023-01-02 13:00:00,209.89203335657112
2023-01-02 14:00:00,202.67862360054772
2023-01-02 15:00:00,210.96860078725376
2023-01-02 16:00:00,197.19587829493614
2023-01-02 17:00:00,201.5892710553664
2023-01-02 18:00:00,201.03289772118995
2023-01-02 19:00:00,201.41049007260278
2023-01-02 20:00:00,220.38017557065376
2023-01-02 21:00:00,233.48622973272774
2023-01-02 22:00:00,246.22044859165717
2023-01-02 23:00:00,264.0870328845232
2023-01-03 00:00:00,265.7010374724956
2023-01-03 01:00:00,256.86134204965134
2023-01-03 02:00:00,259.0604493769249
2023-01-03 03:00:00,264.5549434223674
2023-01-03 04:00:00,269.0131021126484
2023-01-03 05:00:00,263.7901817442532
2023-01-03 06:00:00,226.84601092390875
2023-01-03 07:00:00,197.12271498543896
2023-01-03 08:00:00,217.9007219594559
2023-01-03 09:00:00,218.14989345203065
2023-01-03 10:00:00,226.63885152149604
2023-01-03 11:00:00,224.07054365926984
2023-01-03 12:00:00,224.8552659023444
2023-01-03 13:00:00,232.1536001436504
2023-01-03 14:00:00,224.53537891114257
2023-01-03 15:00:00,223.81220859066684
2023-01-03 16:00:00,229.73044945639109
2023-01-03 17:00:00,207.9056003809849
2023-01-03 18:00:00,217.22668561536182
2023-01-03 19:00:00,241.14575144923953
2023-01-03 20:00:00,250.6770376748356
