Datetime (UTC),Carbon Intensity gCO₂eq/kWh (direct)
2023-01-01 00:00:00,242.1
2023-01-01 01:00:00,247.31
2023-01-01 02:00:00,241.39
2023-01-01 03:00:00,246.6
2023-01-01 04:00:00,247.58
2023-01-01 05:00:00,252.83
2023-01-01 06:00:00,255.8
2023-01-01 07:00:00,261.34
2023-01-01 08:00:00,256.38
2023-01-01 09:00:00,250.02
2023-01-01 10:00:00,246.3
2023-01-01 11:00:00,246.06
2023-01-01 12:00:00,243.81
2023-01-01 13:00:00,242.24
2023-01-01 14:00:00,238.37
2023-01-01 15:00:00,239.56
2023-01-01 16:00:00,238.83
2023-01-01 17:00:00,239.66
2023-01-01 18:00:00,231.25
2023-01-01 19:00:00,234.37
2023-01-01 20:00:00,238.73
2023-01-01 21:00:00,236.87
2023-01-01 22:00:00,238.18
2023-01-01 23:00:00,244.78
2023-01-02 00:00:00,255.53
2023-01-02 01:00:00,249.9
2023-01-02 02:00:00,253.98
2023-01-02 03:00:00,262.79
2023-01-02 04:00:00,256.24
2023-01-02 05:00:00,265.08
2023-01-02 06:00:00,262.72
2023-01-02 07:00:00,260.07
2023-01-02 08:00:00,260.37
2023-01-02 09:00:00,258.91
2023-01-02 10:00:00,261.95
2023-01-02 11:00:00,257.96
2023-01-02 12:00:00,256.6
2023-01-02 13:00:00,246.2
2023-01-02 14:00:00,244.09
2023-01-02 15:00:00,244.78
2023-01-02 16:00:00,240.24
2023-01-02 17:00:00,239.42
2023-01-02 18:00:00,242.21
2023-01-02 19:00:00,239.09
2023-01-02 20:00:00,244.66
2023-01-02 21:00:00,242.34
2023-01-02 22:00:00,253.99
2023-01-02 23:00:00,251.56
2023-01-03 00:00:00,254.09
2023-01-03 01:00:00,256.16
2023-01-03 02:00:00,264.02
2023-01-03 03:00:00,259.81
2023-01-03 04:00:00,264.16
2023-01-03 05:00:00,266.11
2023-01-03 06:00:00,268.38
2023-01-03 07:00:00,266.56
2023-01-03 08:00:00,267.99
2023-01-03 09:00:00,268.77
2023-01-03 10:00:00,265.87
2023-01-03 11:00:00,261.4
2023-01-03 12:00:00,259.7
2023-01-03 13:00:00,251.5
2023-01-03 14:00:00,247.57
2023-01-03 15:00:00,246.05
2023-01-03 16:00:00,247.44
2023-01-03 17:00:00,248.6
2023-01-03 18:00:00,250.5
2023-01-03 19:00:00,237.99
2023-01-03 20:00:00,250.07
2023-01-03 21:00:00,250.82
2023-01-03 22:00:00,254.08
