Datetime (UTC),Carbon Intensity gCO₂eq/kWh (direct)
2024-01-01 00:00:00,162.7838965490953
2024-01-01 01:00:00,159.19583609291698
2024-01-01 02:00:00,158.30878551828198
2024-01-01 03:00:00,161.03500159251246
2024-01-01 04:00:00,163.1228228842386
2024-01-01 05:00:00,159.71948727599667
2024-01-01 06:00:00,165.85481498642406
2024-01-01 07:00:00,157.0946776961585
2024-01-01 08:00:00,160.8976343526532
2024-01-01 09:00:00,164.806836369218
2024-01-01 10:00:00,173.62033776565363
2024-01-01 11:00:00,177.05835942750892
2024-01-01 12:00:00,174.1376140904499
2024-01-01 13:00:00,165.85262816807577
2024-01-01 14:00:00,160.97269021716141
2024-01-01 15:00:00,171.42384404969047
2024-01-01 16:00:00,196.31782157849017
2024-01-01 17:00:00,175.15811115397787
2024-01-01 18:00:00,164.76069784018125
2024-01-01 19:00:00,179.67758317512997
2024-01-01 20:00:00,157.29418104061654
2024-01-01 21:00:00,141.89415136769824
2024-01-01 22:00:00,136.98449330636473
2024-01-01 23:00:00,126.57392854653052
2024-01-02 00:00:00,129.44945295118407
2024-01-02 01:00:00,134.3823743188493
2024-01-02 02:00:00,134.1574011554143
2024-01-02 03:00:00,137.88643527138882
2024-01-02 04:00:00,144.5841426492305
2024-01-02 05:00:00,146.70252926973916
2024-01-02 06:00:00,145.767692539762
2024-01-02 07:00:00,156.14663737630912
2024-01-02 08:00:00,157.27718235923544
2024-01-02 09:00:00,163.5062743651464
2024-01-02 10:00:00,173.2145352277293
2024-01-02 11:00:00,178.62854432740963
2024-01-02 12:00:00,180.96292559418663
2024-01-02 13:00:00,180.43016738804675
2024-01-02 14:00:00,183.60685341478418
2024-01-02 15:00:00,185.86060433250637
2024-01-02 16:00:00,197.9099031102226
2024-01-02 17:00:00,199.66337065065585
2024-01-02 18:00:00,190.20346454744873
2024-01-02 19:00:00,198.11473743428795
2024-01-02 20:00:00,187.98278725660344
2024-01-02 21:00:00,197.62947320794896
2024-01-02 22:00:00,202.13089164086026
2024-01-02 23:00:00,183.93125303077488
2024-01-03 00:00:00,186.40392330240104
2024-01-03 01:00:00,181.88909850497373
2024-01-03 02:00:00,168.5337907183013
2024-01-03 03:00:00,169.90990222589
2024-01-03 04:00:00,154.9941743751675
2024-01-03 05:00:00,155.37974494463785
2024-01-03 06:00:00,159.36715154291863
2024-01-03 07:00:00,171.1711525514022
2024-01-03 08:00:00,172.1644859654811
2024-01-03 09:00:00,175.81320402029866
2024-01-03 10:00:00,185.48277049098982
2024-01-03 11:00:00,183.49281153692593
2024-01-03 12:00:00,180.05068586375367
2024-01-03 13:00:00,182.81556389865895
2024-01-03 14:00:00,192.5463092606913
2024-01-03 15:00:00,204.3710915844288
2024-01-03 16:00:00,223.40287740172357
2024-01-03 17:00:00,226.74656174322678
2024-01-03 18:00:00,215.89187387290585
2024-01-03 19:00:00,205.35220657261863
2024-01-03 20:00:00,202.9205401256167
2024-01-03 21:00:00,205.14453311088715
2024-01-03 22:00:00,195.73911422131067
2024-01-03 23:00:00,187.72943162057507
2024-01-04 00:00:00,174.89375283236208
2024-01-04 01:00:00,174.24666619645473
2024-01-04 02:00:00,169.71365211751885
2024-01-04 03:00:00,176.9796050355715
2024-01-04 04:00:00,196.26395449381394
2024-01-04 05:00:00,234.6598805270014
2024-01-04 06:00:00,257.5904981321308
2024-01-04 07:00:00,284.52528320602727
2024-01-04 08:00:00,303.83755018716715
2024-01-04 09:00:00,310.93733895683573
2024-01-04 10:00:00,326.3890032261443
2024-01-04 11:00:00,333.92446453863744
2024-01-04 12:00:00,331.9891903667705
2024-01-04 13:00:00,342.5875880869042
2024-01-04 14:00:00,350.25606953812814
2024-01-04 15:00:00,354.6481468683094
2024-01-04 16:00:00,355.9345226823266
2024-01-04 17:00:00,357.45272937490597
2024-01-04 18:00:00,344.3016126509277
