sched,job_id,node,submit,start,end,wait_ms,ci_cost
carbonscaler,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:01:26.627396784+02:00,3561627,0.000522
carbonscaler,job-1,gpu-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:09:07.627396784+02:00,3561627,0.003120
carbonscaler,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:02:48.627396784+02:00,3561627,0.003372
carbonscaler,job-3,small-0,2025-10-19T17:00:03+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:00:03.627396784+02:00,3558627,0.000169
carbonscaler,job-4,med-0,2025-10-19T17:00:04+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:08:27.627396784+02:00,3557627,0.006199
carbonscaler,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:01:47.627396784+02:00,3556627,0.000616
carbonscaler,job-6,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:01:27.627396784+02:00,3556627,0.000532
carbonscaler,job-7,med-1,2025-10-19T17:00:05+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:06:28.627396784+02:00,3556627,0.005604
carbonscaler,job-8,small-1,2025-10-19T17:00:05+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:00:12.627396784+02:00,3556627,0.000205
carbonscaler,job-9,med-2,2025-10-19T17:00:05+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:08:20.627396784+02:00,3556627,0.008029
carbonscaler,job-10,small-2,2025-10-19T17:00:05+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:00:13.627396784+02:00,3556627,0.000209
carbonscaler,job-13,small-3,2025-10-19T17:00:09+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:00:10.627396784+02:00,3552627,0.000197
carbonscaler,job-14,small-4,2025-10-19T17:00:10+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T17:59:58.627396784+02:00,3551627,0.000149
carbonscaler,job-16,small-0,2025-10-19T17:00:12+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T17:59:53.627396784+02:00,3549627,0.000129
carbonscaler,job-26,small-1,2025-10-19T17:00:19+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:00:06.627396784+02:00,3542627,0.000181
carbonscaler,job-27,small-2,2025-10-19T17:00:21+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:00:14.627396784+02:00,3540627,0.000213
carbonscaler,job-28,small-3,2025-10-19T17:00:21+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T17:59:58.627396784+02:00,3540627,0.000149
carbonscaler,job-29,small-4,2025-10-19T17:00:22+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:00:02.627396784+02:00,3539627,0.000165
carbonscaler,job-37,burst-0,2025-10-19T17:00:33+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T18:09:01.627396784+02:00,3528627,0.004429
carbonscaler,job-49,small-0,2025-10-19T17:00:52+02:00,2025-10-19T17:59:21.627396784+02:00,2025-10-19T17:59:59.627396784+02:00,3509627,0.000153
