sched,job_id,node,submit,start,end,wait_ms,ci_cost
engine,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:01:23.089356478+02:00,3558089,0.000521
engine,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:09:04.089356478+02:00,3558089,0.003454
engine,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:02:45.089356478+02:00,3558089,0.003366
engine,job-3,gpu-0,2025-10-19T17:00:03+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:00.089356478+02:00,3555089,0.000153
engine,job-4,gpu-0,2025-10-19T17:00:04+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:08:24.089356478+02:00,3554089,0.003191
engine,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:01:44.089356478+02:00,3553089,0.000613
engine,job-6,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:01:24.089356478+02:00,3553089,0.000529
engine,job-7,med-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:06:25.089356478+02:00,3553089,0.005604
engine,job-8,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:09.089356478+02:00,3553089,0.000186
engine,job-9,med-1,2025-10-19T17:00:05+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:08:17.089356478+02:00,3553089,0.008029
engine,job-10,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:10.089356478+02:00,3553089,0.000190
engine,job-13,gpu-0,2025-10-19T17:00:09+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:07.089356478+02:00,3549089,0.000179
engine,job-14,gpu-0,2025-10-19T17:00:10+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T17:59:55.089356478+02:00,3548089,0.000135
engine,job-16,med-0,2025-10-19T17:00:12+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T17:59:50.089356478+02:00,3546089,0.000137
engine,job-17,med-2,2025-10-19T17:00:12+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:08:15.089356478+02:00,3546089,0.008950
engine,job-26,med-0,2025-10-19T17:00:19+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:03.089356478+02:00,3539089,0.000192
engine,job-27,med-1,2025-10-19T17:00:21+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:11.089356478+02:00,3537089,0.000226
engine,job-28,small-0,2025-10-19T17:00:21+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T17:59:55.089356478+02:00,3537089,0.000149
engine,job-29,small-0,2025-10-19T17:00:22+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T17:59:59.089356478+02:00,3536089,0.000165
engine,job-49,small-0,2025-10-19T17:00:52+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T17:59:56.089356478+02:00,3506089,0.000153
engine,job-62,small-0,2025-10-19T17:01:02+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:15.089356478+02:00,3496089,0.000230
engine,job-76,small-1,2025-10-19T17:01:14+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:02.089356478+02:00,3484089,0.000177
engine,job-80,small-1,2025-10-19T17:01:22+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:15.089356478+02:00,3476089,0.000230
engine,job-87,small-1,2025-10-19T17:01:28+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:00.089356478+02:00,3470089,0.000169
engine,job-95,small-1,2025-10-19T17:01:34+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:13.089356478+02:00,3464089,0.000222
engine,job-98,small-2,2025-10-19T17:01:38+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:06.089356478+02:00,3460089,0.000193
engine,job-100,small-2,2025-10-19T17:01:39+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:12.089356478+02:00,3459089,0.000218
engine,job-101,small-2,2025-10-19T17:01:42+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:14.089356478+02:00,3456089,0.000226
engine,job-105,small-2,2025-10-19T17:01:45+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:15.089356478+02:00,3453089,0.000230
engine,job-108,small-3,2025-10-19T17:01:46+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T17:59:55.089356478+02:00,3452089,0.000149
engine,job-113,small-3,2025-10-19T17:01:57+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T17:59:52.089356478+02:00,3441089,0.000137
engine,job-118,small-3,2025-10-19T17:02:04+02:00,2025-10-19T17:59:18.089356478+02:00,2025-10-19T18:00:07.089356478+02:00,3434089,0.000197
engine,job-119,med-0,2025-10-19T17:02:04+02:00,2025-10-19T17:59:50.089356478+02:00,2025-10-19T18:00:25.089356478+02:00,3466089,0.000149
engine,job-121,small-3,2025-10-19T17:02:07+02:00,2025-10-19T17:59:50.089356478+02:00,2025-10-19T18:00:30.089356478+02:00,3463089,0.000161
engine,job-122,small-4,2025-10-19T17:02:08+02:00,2025-10-19T17:59:50.089356478+02:00,2025-10-19T18:00:43.089356478+02:00,3462089,0.000213
engine,job-127,small-4,2025-10-19T17:02:11+02:00,2025-10-19T17:59:50.089356478+02:00,2025-10-19T18:00:40.089356478+02:00,3459089,0.000201
engine,job-130,small-4,2025-10-19T17:02:16+02:00,2025-10-19T17:59:50.089356478+02:00,2025-10-19T18:00:38.089356478+02:00,3454089,0.000193
engine,job-133,small-4,2025-10-19T17:02:21+02:00,2025-10-19T17:59:50.089356478+02:00,2025-10-19T18:00:27.089356478+02:00,3449089,0.000149
engine,job-136,small-3,2025-10-19T17:02:22+02:00,2025-10-19T17:59:52.089356478+02:00,2025-10-19T18:00:38.089356478+02:00,3450089,0.000185
engine,job-137,gpu-0,2025-10-19T17:02:22+02:00,2025-10-19T17:59:55.089356478+02:00,2025-10-19T18:00:52.089356478+02:00,3453089,0.000222
engine,job-144,small-0,2025-10-19T17:02:27+02:00,2025-10-19T17:59:55.089356478+02:00,2025-10-19T18:00:35.089356478+02:00,3448089,0.000161
engine,job-147,small-3,2025-10-19T17:02:29+02:00,2025-10-19T17:59:55.089356478+02:00,2025-10-19T18:00:33.089356478+02:00,3446089,0.000153
engine,job-151,small-0,2025-10-19T17:02:35+02:00,2025-10-19T17:59:56.089356478+02:00,2025-10-19T18:00:44.089356478+02:00,3441089,0.000193
engine,job-158,small-0,2025-10-19T17:02:45+02:00,2025-10-19T17:59:59.089356478+02:00,2025-10-19T18:00:32.089356478+02:00,3434089,0.000133
engine,job-160,gpu-0,2025-10-19T17:02:47+02:00,2025-10-19T18:00:00.089356478+02:00,2025-10-19T18:00:39.089356478+02:00,3433089,0.000077
engine,job-161,small-1,2025-10-19T17:02:47+02:00,2025-10-19T18:00:00.089356478+02:00,2025-10-19T18:00:40.089356478+02:00,3433089,0.000161
engine,job-164,small-1,2025-10-19T17:02:50+02:00,2025-10-19T18:00:02.089356478+02:00,2025-10-19T18:00:56.089356478+02:00,3432089,0.000218
engine,job-172,med-0,2025-10-19T17:02:57+02:00,2025-10-19T18:00:03.089356478+02:00,2025-10-19T18:00:46.089356478+02:00,3426089,0.000184
engine,job-176,small-2,2025-10-19T17:03:02+02:00,2025-10-19T18:00:06.089356478+02:00,2025-10-19T18:00:45.089356478+02:00,3424089,0.000157
engine,job-180,gpu-0,2025-10-19T17:03:04+02:00,2025-10-19T18:00:07.089356478+02:00,2025-10-19T18:01:03.089356478+02:00,3423089,0.000112
engine,job-181,small-3,2025-10-19T17:03:05+02:00,2025-10-19T18:00:07.089356478+02:00,2025-10-19T18:00:43.089356478+02:00,3422089,0.000145
engine,job-183,gpu-0,2025-10-19T17:03:05+02:00,2025-10-19T18:00:09.089356478+02:00,2025-10-19T18:01:04.089356478+02:00,3424089,0.000111
engine,job-184,gpu-0,2025-10-19T17:03:05+02:00,2025-10-19T18:00:10.089356478+02:00,2025-10-19T18:00:44.089356478+02:00,3425089,0.000069
engine,job-187,med-1,2025-10-19T17:03:09+02:00,2025-10-19T18:00:11.089356478+02:00,2025-10-19T18:01:05.089356478+02:00,3422089,0.000231
engine,job-189,small-2,2025-10-19T17:03:12+02:00,2025-10-19T18:00:12.089356478+02:00,2025-10-19T18:00:50.089356478+02:00,3420089,0.000153
engine,job-190,small-1,2025-10-19T17:03:12+02:00,2025-10-19T18:00:13.089356478+02:00,2025-10-19T18:01:04.089356478+02:00,3421089,0.000205
engine,job-191,small-2,2025-10-19T17:03:13+02:00,2025-10-19T18:00:14.089356478+02:00,2025-10-19T18:01:11.089356478+02:00,3421089,0.000230
engine,job-197,small-0,2025-10-19T17:03:27+02:00,2025-10-19T18:00:15.089356478+02:00,2025-10-19T18:01:06.089356478+02:00,3408089,0.000205
engine,job-202,small-1,2025-10-19T17:03:36+02:00,2025-10-19T18:00:15.089356478+02:00,2025-10-19T18:01:03.089356478+02:00,3399089,0.000193
engine,job-206,small-2,2025-10-19T17:03:44+02:00,2025-10-19T18:00:15.089356478+02:00,2025-10-19T18:00:59.089356478+02:00,3391089,0.000177
engine,job-208,med-0,2025-10-19T17:03:44+02:00,2025-10-19T18:00:25.089356478+02:00,2025-10-19T18:00:57.089356478+02:00,3401089,0.000137
engine,job-211,small-4,2025-10-19T17:03:46+02:00,2025-10-19T18:00:27.089356478+02:00,2025-10-19T18:01:00.089356478+02:00,3401089,0.000133
engine,job-214,small-3,2025-10-19T17:03:51+02:00,2025-10-19T18:00:30.089356478+02:00,2025-10-19T18:01:13.089356478+02:00,3399089,0.000173
engine,job-215,small-0,2025-10-19T17:03:53+02:00,2025-10-19T18:00:32.089356478+02:00,2025-10-19T18:01:08.089356478+02:00,3399089,0.000145
engine,job-216,small-3,2025-10-19T17:03:53+02:00,2025-10-19T18:00:33.089356478+02:00,2025-10-19T18:01:26.089356478+02:00,3400089,0.000213
engine,job-218,small-0,2025-10-19T17:03:55+02:00,2025-10-19T18:00:35.089356478+02:00,2025-10-19T18:01:20.089356478+02:00,3400089,0.000181
engine,job-220,small-3,2025-10-19T17:03:56+02:00,2025-10-19T18:00:38.089356478+02:00,2025-10-19T18:01:24.089356478+02:00,3402089,0.000185
engine,job-229,small-4,2025-10-19T17:04:08+02:00,2025-10-19T18:00:38.089356478+02:00,2025-10-19T18:01:35.089356478+02:00,3390089,0.000230
engine,job-230,gpu-0,2025-10-19T17:04:11+02:00,2025-10-19T18:00:39.089356478+02:00,2025-10-19T18:01:31.089356478+02:00,3388089,0.000115
engine,job-237,small-1,2025-10-19T17:04:16+02:00,2025-10-19T18:00:40.089356478+02:00,2025-10-19T18:01:22.089356478+02:00,3384089,0.000169
engine,job-238,small-4,2025-10-19T17:04:16+02:00,2025-10-19T18:00:40.089356478+02:00,2025-10-19T18:01:38.089356478+02:00,3384089,0.000234
engine,job-243,small-3,2025-10-19T17:04:21+02:00,2025-10-19T18:00:43.089356478+02:00,2025-10-19T18:01:13.089356478+02:00,3382089,0.000121
engine,job-248,small-4,2025-10-19T17:04:25+02:00,2025-10-19T18:00:43.089356478+02:00,2025-10-19T18:01:17.089356478+02:00,3378089,0.000137
engine,job-250,gpu-0,2025-10-19T17:04:26+02:00,2025-10-19T18:00:44.089356478+02:00,2025-10-19T18:01:38.089356478+02:00,3378089,0.000121
engine,job-255,small-0,2025-10-19T17:04:30+02:00,2025-10-19T18:00:44.089356478+02:00,2025-10-19T18:01:27.089356478+02:00,3374089,0.000173
engine,job-259,small-2,2025-10-19T17:04:37+02:00,2025-10-19T18:00:45.089356478+02:00,2025-10-19T18:01:20.089356478+02:00,3368089,0.000141
engine,job-271,med-0,2025-10-19T17:04:42+02:00,2025-10-19T18:00:46.089356478+02:00,2025-10-19T18:01:45.089356478+02:00,3364089,0.000252
engine,job-275,small-2,2025-10-19T17:04:49+02:00,2025-10-19T18:00:50.089356478+02:00,2025-10-19T18:01:28.089356478+02:00,3361089,0.000153
engine,job-276,gpu-0,2025-10-19T17:04:52+02:00,2025-10-19T18:00:52.089356478+02:00,2025-10-19T18:01:42.089356478+02:00,3360089,0.000115
engine,job-279,small-1,2025-10-19T17:04:57+02:00,2025-10-19T18:00:56.089356478+02:00,2025-10-19T18:01:34.089356478+02:00,3359089,0.000153
engine,job-281,med-0,2025-10-19T17:05:03+02:00,2025-10-19T18:00:57.089356478+02:00,2025-10-19T18:01:37.089356478+02:00,3354089,0.000171
engine,job-284,small-2,2025-10-19T17:05:04+02:00,2025-10-19T18:00:59.089356478+02:00,2025-10-19T18:01:57.089356478+02:00,3355089,0.000234
engine,job-288,small-4,2025-10-19T17:05:08+02:00,2025-10-19T18:01:00.089356478+02:00,2025-10-19T18:01:57.089356478+02:00,3352089,0.000230
engine,job-289,gpu-0,2025-10-19T17:05:08+02:00,2025-10-19T18:01:03.089356478+02:00,2025-10-19T18:01:58.089356478+02:00,3355089,0.000131
engine,job-293,small-1,2025-10-19T17:05:13+02:00,2025-10-19T18:01:03.089356478+02:00,2025-10-19T18:01:49.089356478+02:00,3350089,0.000185
engine,job-296,gpu-0,2025-10-19T17:05:17+02:00,2025-10-19T18:01:04.089356478+02:00,2025-10-19T18:01:44.089356478+02:00,3347089,0.000095
engine,job-297,small-1,2025-10-19T17:05:17+02:00,2025-10-19T18:01:04.089356478+02:00,2025-10-19T18:01:49.089356478+02:00,3347089,0.000181
