sched,job_id,node,submit,start,end,wait_ms,ci_cost
k8,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:01:25.669021214+02:00,3560669,0.000521
k8,job-1,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:09:06.669021214+02:00,3560669,0.003458
k8,job-2,gpu-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:02:47.669021214+02:00,3560669,0.002469
k8,job-3,med-0,2025-10-19T17:00:03+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:00:02.669021214+02:00,3557669,0.000179
k8,job-4,med-1,2025-10-19T17:00:04+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:08:26.669021214+02:00,3556669,0.006199
k8,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:01:46.669021214+02:00,3555669,0.000615
k8,job-6,burst-1,2025-10-19T17:00:05+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:01:26.669021214+02:00,3555669,0.000526
k8,job-7,med-2,2025-10-19T17:00:05+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:06:27.669021214+02:00,3555669,0.005604
k8,job-8,small-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:00:11.669021214+02:00,3555669,0.000205
k8,job-9,med-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:08:19.669021214+02:00,3555669,0.008029
k8,job-10,small-1,2025-10-19T17:00:05+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:00:12.669021214+02:00,3555669,0.000209
k8,job-12,gpu-0,2025-10-19T17:00:08+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:01:30.669021214+02:00,3552669,0.000548
k8,job-13,small-2,2025-10-19T17:00:09+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:00:09.669021214+02:00,3551669,0.000197
k8,job-14,small-3,2025-10-19T17:00:10+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T17:59:57.669021214+02:00,3550669,0.000149
k8,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T17:59:52.669021214+02:00,3548669,0.000129
k8,job-26,small-0,2025-10-19T17:00:19+02:00,2025-10-19T17:59:20.669021214+02:00,2025-10-19T18:00:05.669021214+02:00,3541669,0.000181
