sched,job_id,node,submit,start,end,wait_ms,ci_cost
themis_base,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:01:28.190414829+02:00,3563190,0.000522
themis_base,job-1,gpu-0,2025-10-19T17:00:00+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:09:09.190414829+02:00,3563190,0.003131
themis_base,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:02:50.190414829+02:00,3563190,0.003376
themis_base,job-3,small-0,2025-10-19T17:00:03+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:05.190414829+02:00,3560190,0.000169
themis_base,job-4,med-0,2025-10-19T17:00:04+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:08:29.190414829+02:00,3559190,0.006199
themis_base,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:01:49.190414829+02:00,3558190,0.000618
themis_base,job-6,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:01:29.190414829+02:00,3558190,0.000534
themis_base,job-7,med-1,2025-10-19T17:00:05+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:06:30.190414829+02:00,3558190,0.005604
themis_base,job-8,small-1,2025-10-19T17:00:05+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:14.190414829+02:00,3558190,0.000205
themis_base,job-9,med-2,2025-10-19T17:00:05+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:08:22.190414829+02:00,3558190,0.008029
themis_base,job-10,small-2,2025-10-19T17:00:05+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:15.190414829+02:00,3558190,0.000209
themis_base,job-13,small-3,2025-10-19T17:00:09+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:12.190414829+02:00,3554190,0.000197
themis_base,job-14,small-4,2025-10-19T17:00:10+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:00.190414829+02:00,3553190,0.000149
themis_base,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T17:59:55.190414829+02:00,3551190,0.000129
themis_base,job-26,small-0,2025-10-19T17:00:19+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:08.190414829+02:00,3544190,0.000181
themis_base,job-27,small-3,2025-10-19T17:00:21+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:16.190414829+02:00,3542190,0.000213
themis_base,job-28,small-1,2025-10-19T17:00:21+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:00.190414829+02:00,3542190,0.000149
themis_base,job-29,small-2,2025-10-19T17:00:22+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:04.190414829+02:00,3541190,0.000165
themis_base,job-37,burst-0,2025-10-19T17:00:33+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:09:03.190414829+02:00,3530190,0.004434
themis_base,job-49,small-4,2025-10-19T17:00:52+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:01.190414829+02:00,3511190,0.000153
themis_base,job-62,small-1,2025-10-19T17:01:02+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:20.190414829+02:00,3501190,0.000230
themis_base,job-76,small-2,2025-10-19T17:01:14+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:07.190414829+02:00,3489190,0.000177
themis_base,job-80,small-0,2025-10-19T17:01:22+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:20.190414829+02:00,3481190,0.000230
themis_base,job-87,small-3,2025-10-19T17:01:28+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:05.190414829+02:00,3475190,0.000169
themis_base,job-95,small-4,2025-10-19T17:01:34+02:00,2025-10-19T17:59:23.190414829+02:00,2025-10-19T18:00:18.190414829+02:00,3469190,0.000222
