sched,job_id,node,submit,start,end,wait_ms,ci_cost
carbonscaler,job-0,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:16:01.022023553+02:00,76436022,0.000504
carbonscaler,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:23:42.022023553+02:00,76436022,0.004713
carbonscaler,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:17:23.022023553+02:00,76436022,0.004593
carbonscaler,job-3,small-0,2025-10-19T17:00:03+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:38.022023553+02:00,76433022,0.000169
carbonscaler,job-4,med-0,2025-10-19T17:00:04+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:23:02.022023553+02:00,76432022,0.006199
carbonscaler,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:16:22.022023553+02:00,76431022,0.000589
carbonscaler,job-6,burst-0,2025-10-19T17:00:05+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:16:02.022023553+02:00,76431022,0.000716
carbonscaler,job-7,med-1,2025-10-19T17:00:05+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:21:03.022023553+02:00,76431022,0.005604
carbonscaler,job-8,small-1,2025-10-19T17:00:05+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:47.022023553+02:00,76431022,0.000205
carbonscaler,job-9,med-2,2025-10-19T17:00:05+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:22:55.022023553+02:00,76431022,0.008029
carbonscaler,job-10,small-2,2025-10-19T17:00:05+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:48.022023553+02:00,76431022,0.000209
carbonscaler,job-13,small-3,2025-10-19T17:00:09+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:45.022023553+02:00,76427022,0.000197
carbonscaler,job-14,small-4,2025-10-19T17:00:10+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:33.022023553+02:00,76426022,0.000149
carbonscaler,job-16,small-0,2025-10-19T17:00:12+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:28.022023553+02:00,76424022,0.000129
carbonscaler,job-26,small-1,2025-10-19T17:00:19+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:41.022023553+02:00,76417022,0.000181
carbonscaler,job-27,small-2,2025-10-19T17:00:21+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:49.022023553+02:00,76415022,0.000213
carbonscaler,job-28,small-3,2025-10-19T17:00:21+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:33.022023553+02:00,76415022,0.000149
carbonscaler,job-29,small-4,2025-10-19T17:00:22+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:37.022023553+02:00,76414022,0.000165
carbonscaler,job-33,gpu-0,2025-10-19T17:00:30+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:19:12.022023553+02:00,76406022,0.002274
carbonscaler,job-49,small-0,2025-10-19T17:00:52+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:34.022023553+02:00,76384022,0.000153
carbonscaler,job-62,small-1,2025-10-19T17:01:02+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:53.022023553+02:00,76374022,0.000230
carbonscaler,job-76,small-2,2025-10-19T17:01:14+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:40.022023553+02:00,76362022,0.000177
carbonscaler,job-80,small-3,2025-10-19T17:01:22+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:53.022023553+02:00,76354022,0.000230
carbonscaler,job-87,small-4,2025-10-19T17:01:28+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:38.022023553+02:00,76348022,0.000169
carbonscaler,job-95,med-0,2025-10-19T17:01:34+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:51.022023553+02:00,76342022,0.000235
carbonscaler,job-98,small-0,2025-10-19T17:01:38+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:44.022023553+02:00,76338022,0.000193
carbonscaler,job-100,small-1,2025-10-19T17:01:39+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:50.022023553+02:00,76337022,0.000218
carbonscaler,job-101,small-2,2025-10-19T17:01:42+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:52.022023553+02:00,76334022,0.000226
carbonscaler,job-105,small-3,2025-10-19T17:01:45+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:53.022023553+02:00,76331022,0.000230
carbonscaler,job-108,small-4,2025-10-19T17:01:46+02:00,2025-10-20T14:13:56.022023553+02:00,2025-10-20T14:14:33.022023553+02:00,76330022,0.000149
