sched,job_id,node,submit,start,end,wait_ms,ci_cost
engine,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:18:16.887750935Z,65771887,0.000710
engine,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:25:57.887750935Z,65771887,0.004712
engine,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:19:38.887750935Z,65771887,0.004591
engine,job-3,gpu-0,2025-10-19T17:00:03+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:53.887750935Z,65768887,0.000102
engine,job-4,gpu-0,2025-10-19T17:00:04+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:25:17.887750935Z,65767887,0.002122
engine,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:18:37.887750935Z,65766887,0.000407
engine,job-6,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:18:17.887750935Z,65766887,0.000352
engine,job-7,med-0,2025-10-19T17:00:05+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:23:18.887750935Z,65766887,0.005604
engine,job-8,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:02.887750935Z,65766887,0.000124
engine,job-9,med-1,2025-10-19T17:00:05+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:25:10.887750935Z,65766887,0.008029
engine,job-10,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:03.887750935Z,65766887,0.000126
engine,job-13,gpu-0,2025-10-19T17:00:09+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:00.887750935Z,65762887,0.000119
engine,job-14,gpu-0,2025-10-19T17:00:10+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:48.887750935Z,65761887,0.000090
engine,job-16,med-0,2025-10-19T17:00:12+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:43.887750935Z,65759887,0.000137
engine,job-17,med-2,2025-10-19T17:00:12+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:25:08.887750935Z,65759887,0.008950
engine,job-26,med-0,2025-10-19T17:00:19+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:56.887750935Z,65752887,0.000192
engine,job-27,med-1,2025-10-19T17:00:21+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:04.887750935Z,65750887,0.000226
engine,job-28,small-0,2025-10-19T17:00:21+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:48.887750935Z,65750887,0.000149
engine,job-29,small-0,2025-10-19T17:00:22+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:52.887750935Z,65749887,0.000165
engine,job-49,small-0,2025-10-19T17:00:52+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:49.887750935Z,65719887,0.000153
engine,job-62,small-0,2025-10-19T17:01:02+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:08.887750935Z,65709887,0.000230
engine,job-76,small-1,2025-10-19T17:01:14+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:55.887750935Z,65697887,0.000177
engine,job-80,small-1,2025-10-19T17:01:22+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:08.887750935Z,65689887,0.000230
engine,job-87,small-1,2025-10-19T17:01:28+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:53.887750935Z,65683887,0.000169
engine,job-95,small-1,2025-10-19T17:01:34+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:06.887750935Z,65677887,0.000222
engine,job-98,small-2,2025-10-19T17:01:38+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:59.887750935Z,65673887,0.000193
engine,job-100,small-2,2025-10-19T17:01:39+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:05.887750935Z,65672887,0.000218
engine,job-101,small-2,2025-10-19T17:01:42+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:07.887750935Z,65669887,0.000226
engine,job-105,small-2,2025-10-19T17:01:45+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:08.887750935Z,65666887,0.000230
engine,job-108,small-3,2025-10-19T17:01:46+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:48.887750935Z,65665887,0.000149
engine,job-113,small-3,2025-10-19T17:01:57+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:16:45.887750935Z,65654887,0.000137
engine,job-118,small-3,2025-10-19T17:02:04+02:00,2025-10-20T09:16:11.887750935Z,2025-10-20T09:17:00.887750935Z,65647887,0.000197
engine,job-119,med-0,2025-10-19T17:02:04+02:00,2025-10-20T09:16:43.887750935Z,2025-10-20T09:17:18.887750935Z,65679887,0.000149
engine,job-121,small-3,2025-10-19T17:02:07+02:00,2025-10-20T09:16:43.887750935Z,2025-10-20T09:17:23.887750935Z,65676887,0.000161
engine,job-122,small-4,2025-10-19T17:02:08+02:00,2025-10-20T09:16:43.887750935Z,2025-10-20T09:17:36.887750935Z,65675887,0.000213
engine,job-127,small-4,2025-10-19T17:02:11+02:00,2025-10-20T09:16:43.887750935Z,2025-10-20T09:17:33.887750935Z,65672887,0.000201
engine,job-130,small-4,2025-10-19T17:02:16+02:00,2025-10-20T09:16:43.887750935Z,2025-10-20T09:17:31.887750935Z,65667887,0.000193
engine,job-133,small-4,2025-10-19T17:02:21+02:00,2025-10-20T09:16:43.887750935Z,2025-10-20T09:17:20.887750935Z,65662887,0.000149
engine,job-136,small-3,2025-10-19T17:02:22+02:00,2025-10-20T09:16:45.887750935Z,2025-10-20T09:17:31.887750935Z,65663887,0.000185
engine,job-137,gpu-0,2025-10-19T17:02:22+02:00,2025-10-20T09:16:48.887750935Z,2025-10-20T09:17:45.887750935Z,65666887,0.000152
engine,job-144,small-0,2025-10-19T17:02:27+02:00,2025-10-20T09:16:48.887750935Z,2025-10-20T09:17:28.887750935Z,65661887,0.000161
engine,job-147,small-3,2025-10-19T17:02:29+02:00,2025-10-20T09:16:48.887750935Z,2025-10-20T09:17:26.887750935Z,65659887,0.000153
engine,job-151,small-0,2025-10-19T17:02:35+02:00,2025-10-20T09:16:49.887750935Z,2025-10-20T09:17:37.887750935Z,65654887,0.000193
engine,job-158,small-0,2025-10-19T17:02:45+02:00,2025-10-20T09:16:52.887750935Z,2025-10-20T09:17:25.887750935Z,65647887,0.000133
engine,job-160,gpu-0,2025-10-19T17:02:47+02:00,2025-10-20T09:16:53.887750935Z,2025-10-20T09:17:32.887750935Z,65646887,0.000105
engine,job-161,small-1,2025-10-19T17:02:47+02:00,2025-10-20T09:16:53.887750935Z,2025-10-20T09:17:33.887750935Z,65646887,0.000161
