sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
carbonscaler,job-0,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:16:50.55527549+02:00,76485555,0.00055,carbonscaler
carbonscaler,job-1,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:24:31.55527549+02:00,76485555,0.003254,carbonscaler
carbonscaler,job-2,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:18:12.55527549+02:00,76485555,0.002579,carbonscaler
carbonscaler,job-3,small-0,2025-10-19T17:00:03+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:27.55527549+02:00,76482555,0.000169,carbonscaler
carbonscaler,job-4,burst-0,2025-10-19T17:00:04+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:23:51.55527549+02:00,76481555,0.005042,carbonscaler
carbonscaler,job-5,burst-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:17:11.55527549+02:00,76480555,0.000831,carbonscaler
carbonscaler,job-6,burst-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:16:51.55527549+02:00,76480555,0.000717,carbonscaler
carbonscaler,job-7,med-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:21:52.55527549+02:00,76480555,0.005604,carbonscaler
carbonscaler,job-8,small-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:36.55527549+02:00,76480555,0.000205,carbonscaler
carbonscaler,job-9,med-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:23:44.55527549+02:00,76480555,0.008029,carbonscaler
carbonscaler,job-10,small-2,2025-10-19T17:00:05+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:37.55527549+02:00,76480555,0.000209,carbonscaler
carbonscaler,job-12,gpu-0,2025-10-19T17:00:08+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:16:55.55527549+02:00,76477555,0.000572,carbonscaler
carbonscaler,job-13,small-3,2025-10-19T17:00:09+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:34.55527549+02:00,76476555,0.000197,carbonscaler
carbonscaler,job-14,small-4,2025-10-19T17:00:10+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:22.55527549+02:00,76475555,0.000149,carbonscaler
carbonscaler,job-16,small-0,2025-10-19T17:00:12+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:17.55527549+02:00,76473555,0.000129,carbonscaler
carbonscaler,job-17,med-2,2025-10-19T17:00:12+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:23:42.55527549+02:00,76473555,0.00895,carbonscaler
carbonscaler,job-26,small-1,2025-10-19T17:00:19+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:30.55527549+02:00,76466555,0.000181,carbonscaler
carbonscaler,job-27,small-2,2025-10-19T17:00:21+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:38.55527549+02:00,76464555,0.000213,carbonscaler
carbonscaler,job-28,small-3,2025-10-19T17:00:21+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:22.55527549+02:00,76464555,0.000149,carbonscaler
carbonscaler,job-29,small-4,2025-10-19T17:00:22+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:26.55527549+02:00,76463555,0.000165,carbonscaler
carbonscaler,job-49,small-0,2025-10-19T17:00:52+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:23.55527549+02:00,76433555,0.000153,carbonscaler
carbonscaler,job-62,small-1,2025-10-19T17:01:02+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:42.55527549+02:00,76423555,0.00023,carbonscaler
carbonscaler,job-76,small-2,2025-10-19T17:01:14+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:29.55527549+02:00,76411555,0.000177,carbonscaler
carbonscaler,job-80,small-3,2025-10-19T17:01:22+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:42.55527549+02:00,76403555,0.00023,carbonscaler
carbonscaler,job-87,small-4,2025-10-19T17:01:28+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:27.55527549+02:00,76397555,0.000169,carbonscaler
carbonscaler,job-95,small-0,2025-10-19T17:01:34+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:40.55527549+02:00,76391555,0.000222,carbonscaler
carbonscaler,job-98,small-1,2025-10-19T17:01:38+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:33.55527549+02:00,76387555,0.000193,carbonscaler
carbonscaler,job-100,small-2,2025-10-19T17:01:39+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:39.55527549+02:00,76386555,0.000218,carbonscaler
carbonscaler,job-101,small-3,2025-10-19T17:01:42+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:41.55527549+02:00,76383555,0.000226,carbonscaler
carbonscaler,job-105,small-4,2025-10-19T17:01:45+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:42.55527549+02:00,76380555,0.00023,carbonscaler
carbonscaler,job-108,gpu-0,2025-10-19T17:01:46+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:22.55527549+02:00,76379555,0.000142,carbonscaler
carbonscaler,job-113,gpu-0,2025-10-19T17:01:57+02:00,2025-10-20T14:14:45.55527549+02:00,2025-10-20T14:15:19.55527549+02:00,76368555,0.00013,carbonscaler
carbonscaler,job-114,burst-1,2025-10-19T17:01:59+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:22:00.55527549+02:00,76398555,0.003722,carbonscaler
carbonscaler,job-118,small-0,2025-10-19T17:02:04+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:16:06.55527549+02:00,76393555,0.000197,carbonscaler
carbonscaler,job-119,gpu-0,2025-10-19T17:02:04+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:15:52.55527549+02:00,76393555,7.3e-05,carbonscaler
carbonscaler,job-121,gpu-0,2025-10-19T17:02:07+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:15:57.55527549+02:00,76390555,8.3e-05,carbonscaler
carbonscaler,job-122,med-0,2025-10-19T17:02:08+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:16:10.55527549+02:00,76389555,0.000226,carbonscaler
carbonscaler,job-127,med-0,2025-10-19T17:02:11+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:16:07.55527549+02:00,76386555,0.000214,carbonscaler
carbonscaler,job-130,med-1,2025-10-19T17:02:16+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:16:05.55527549+02:00,76381555,0.000205,carbonscaler
carbonscaler,job-133,burst-0,2025-10-19T17:02:21+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:15:54.55527549+02:00,76376555,0.000167,carbonscaler
carbonscaler,job-136,gpu-0,2025-10-19T17:02:22+02:00,2025-10-20T14:15:19.55527549+02:00,2025-10-20T14:16:05.55527549+02:00,76377555,9.6e-05,carbonscaler
