sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
engine,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:17:00.598902495+02:00,76495598,0.000712,engine
engine,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:24:41.598902495+02:00,76495598,0.004721,engine
engine,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:18:22.598902495+02:00,76495598,0.0046,engine
engine,job-3,gpu-0,2025-10-19T17:00:03+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:37.598902495+02:00,76492598,0.000163,engine
engine,job-4,gpu-0,2025-10-19T17:00:04+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:24:01.598902495+02:00,76491598,0.003403,engine
engine,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:17:21.598902495+02:00,76490598,0.000654,engine
engine,job-6,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:17:01.598902495+02:00,76490598,0.000564,engine
engine,job-7,med-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:22:02.598902495+02:00,76490598,0.005604,engine
engine,job-8,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:46.598902495+02:00,76490598,0.000198,engine
engine,job-9,med-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:23:54.598902495+02:00,76490598,0.008029,engine
engine,job-10,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:47.598902495+02:00,76490598,0.000202,engine
engine,job-13,gpu-0,2025-10-19T17:00:09+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:44.598902495+02:00,76486598,0.000191,engine
engine,job-14,gpu-0,2025-10-19T17:00:10+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:32.598902495+02:00,76485598,0.000144,engine
engine,job-16,med-0,2025-10-19T17:00:12+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:27.598902495+02:00,76483598,0.000137,engine
engine,job-17,med-2,2025-10-19T17:00:12+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:23:52.598902495+02:00,76483598,0.00895,engine
engine,job-26,med-0,2025-10-19T17:00:19+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:40.598902495+02:00,76476598,0.000192,engine
engine,job-27,med-1,2025-10-19T17:00:21+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:48.598902495+02:00,76474598,0.000226,engine
engine,job-28,small-0,2025-10-19T17:00:21+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:32.598902495+02:00,76474598,0.000149,engine
engine,job-29,small-0,2025-10-19T17:00:22+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:36.598902495+02:00,76473598,0.000165,engine
engine,job-49,small-0,2025-10-19T17:00:52+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:33.598902495+02:00,76443598,0.000153,engine
engine,job-62,small-0,2025-10-19T17:01:02+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:52.598902495+02:00,76433598,0.00023,engine
engine,job-76,small-1,2025-10-19T17:01:14+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:39.598902495+02:00,76421598,0.000177,engine
engine,job-80,small-1,2025-10-19T17:01:22+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:52.598902495+02:00,76413598,0.00023,engine
engine,job-87,small-1,2025-10-19T17:01:28+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:37.598902495+02:00,76407598,0.000169,engine
engine,job-95,small-1,2025-10-19T17:01:34+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:50.598902495+02:00,76401598,0.000222,engine
engine,job-98,small-2,2025-10-19T17:01:38+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:43.598902495+02:00,76397598,0.000193,engine
engine,job-100,small-2,2025-10-19T17:01:39+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:49.598902495+02:00,76396598,0.000218,engine
engine,job-101,small-2,2025-10-19T17:01:42+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:51.598902495+02:00,76393598,0.000226,engine
engine,job-105,small-2,2025-10-19T17:01:45+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:52.598902495+02:00,76390598,0.00023,engine
engine,job-108,small-3,2025-10-19T17:01:46+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:32.598902495+02:00,76389598,0.000149,engine
engine,job-113,small-3,2025-10-19T17:01:57+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:29.598902495+02:00,76378598,0.000137,engine
engine,job-118,small-3,2025-10-19T17:02:04+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:44.598902495+02:00,76371598,0.000197,engine
engine,job-119,small-3,2025-10-19T17:02:04+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:30.598902495+02:00,76371598,0.000141,engine
engine,job-121,small-4,2025-10-19T17:02:07+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:35.598902495+02:00,76368598,0.000161,engine
engine,job-122,small-4,2025-10-19T17:02:08+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:48.598902495+02:00,76367598,0.000213,engine
engine,job-127,small-4,2025-10-19T17:02:11+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:45.598902495+02:00,76364598,0.000201,engine
engine,job-130,small-4,2025-10-19T17:02:16+02:00,2025-10-20T14:14:55.598902495+02:00,2025-10-20T14:15:43.598902495+02:00,76359598,0.000193,engine
engine,job-133,med-0,2025-10-19T17:02:21+02:00,2025-10-20T14:15:27.598902495+02:00,2025-10-20T14:16:04.598902495+02:00,76386598,0.000158,engine
engine,job-136,small-3,2025-10-19T17:02:22+02:00,2025-10-20T14:15:29.598902495+02:00,2025-10-20T14:16:15.598902495+02:00,76387598,0.000185,engine
engine,job-137,small-3,2025-10-19T17:02:22+02:00,2025-10-20T14:15:30.598902495+02:00,2025-10-20T14:16:27.598902495+02:00,76388598,0.00023,engine
