sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
themis_base,job-0,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:15:48.565072351+02:00,76423565,0.000492,themis
themis_base,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:23:29.565072351+02:00,76423565,0.00471,themis
themis_base,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:17:10.565072351+02:00,76423565,0.00459,themis
themis_base,job-3,small-0,2025-10-19T17:00:03+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:25.565072351+02:00,76420565,0.000169,themis
themis_base,job-4,med-0,2025-10-19T17:00:04+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:22:49.565072351+02:00,76419565,0.006199,themis
themis_base,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:16:09.565072351+02:00,76418565,0.000574,themis
themis_base,job-6,burst-0,2025-10-19T17:00:05+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:15:49.565072351+02:00,76418565,0.000716,themis
themis_base,job-7,med-1,2025-10-19T17:00:05+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:20:50.565072351+02:00,76418565,0.005604,themis
themis_base,job-8,small-1,2025-10-19T17:00:05+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:34.565072351+02:00,76418565,0.000205,themis
themis_base,job-9,med-2,2025-10-19T17:00:05+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:22:42.565072351+02:00,76418565,0.008029,themis
themis_base,job-10,small-2,2025-10-19T17:00:05+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:35.565072351+02:00,76418565,0.000209,themis
themis_base,job-13,small-3,2025-10-19T17:00:09+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:32.565072351+02:00,76414565,0.000197,themis
themis_base,job-14,small-4,2025-10-19T17:00:10+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:20.565072351+02:00,76413565,0.000149,themis
themis_base,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:15.565072351+02:00,76411565,0.000129,themis
themis_base,job-26,small-0,2025-10-19T17:00:19+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:28.565072351+02:00,76404565,0.000181,themis
themis_base,job-27,small-3,2025-10-19T17:00:21+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:36.565072351+02:00,76402565,0.000213,themis
themis_base,job-28,small-1,2025-10-19T17:00:21+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:20.565072351+02:00,76402565,0.000149,themis
themis_base,job-29,small-2,2025-10-19T17:00:22+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:24.565072351+02:00,76401565,0.000165,themis
themis_base,job-33,gpu-0,2025-10-19T17:00:30+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:18:59.565072351+02:00,76393565,0.002219,themis
themis_base,job-49,small-4,2025-10-19T17:00:52+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:21.565072351+02:00,76371565,0.000153,themis
themis_base,job-62,small-1,2025-10-19T17:01:02+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:40.565072351+02:00,76361565,0.00023,themis
themis_base,job-76,small-2,2025-10-19T17:01:14+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:27.565072351+02:00,76349565,0.000177,themis
themis_base,job-80,small-0,2025-10-19T17:01:22+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:40.565072351+02:00,76341565,0.00023,themis
themis_base,job-87,small-3,2025-10-19T17:01:28+02:00,2025-10-20T14:13:43.565072351+02:00,2025-10-20T14:14:25.565072351+02:00,76335565,0.000169,themis
