policy,ci_weight,batch_size,total_ci_cost_g,avg_ci_per_job_g,cfp_g_per_cpu_hour,avg_wait_s,makespan_s,elapsed_ms,num_jobs,alpha_mass,lookahead_min,duration_scale,duration_overrides
engine,0.05,32,2.125371,0.002125,0.004568,82662.137,21945.0,2585.0,1000,1.0,0,1.0,
k8,0.05,32,2.143676,0.002144,0.004607,82720.924,20939.0,877.0,1000,1.0,0,1.0,
carbonscaler,0.05,32,2.138741,0.002139,0.004597,82782.683,21277.0,1187.0,1000,1.0,0,1.0,
themis_base,0.05,32,2.132946,0.002133,0.004584,82790.666,21639.0,1841.0,1000,1.0,0,1.0,
engine,0.05,128,2.123727,0.002124,0.004564,82673.585,21792.0,2717.0,1000,1.0,0,1.0,
k8,0.05,128,2.143129,0.002143,0.004606,82725.957,20939.0,931.0,1000,1.0,0,1.0,
carbonscaler,0.05,128,2.177376,0.002177,0.00468,82793.725,20956.0,1221.0,1000,1.0,0,1.0,
themis_base,0.05,128,2.135241,0.002135,0.004589,82733.072,21235.0,1731.0,1000,1.0,0,1.0,
engine,0.05,256,2.126348,0.002126,0.00457,82680.206,21792.0,2978.0,1000,1.0,0,1.0,
k8,0.05,256,2.141784,0.002142,0.004603,82732.843,20939.0,1000.0,1000,1.0,0,1.0,
carbonscaler,0.05,256,2.171161,0.002171,0.004666,82800.677,20956.0,1203.0,1000,1.0,0,1.0,
themis_base,0.05,256,2.138274,0.002138,0.004596,82740.004,21235.0,1766.0,1000,1.0,0,1.0,
engine,0.2,32,2.123119,0.002123,0.004563,82682.237,21945.0,2781.0,1000,1.0,0,1.0,
k8,0.2,32,2.134598,0.002135,0.004588,82741.219,20939.0,869.0,1000,1.0,0,1.0,
carbonscaler,0.2,32,2.134739,0.002135,0.004588,82803.126,21277.0,1332.0,1000,1.0,0,1.0,
themis_base,0.2,32,2.134877,0.002135,0.004588,82811.097,21639.0,1811.0,1000,1.0,0,1.0,
engine,0.2,128,2.123251,0.002123,0.004563,82693.986,21792.0,3093.0,1000,1.0,0,1.0,
k8,0.2,128,2.135536,0.002136,0.00459,82746.735,20939.0,933.0,1000,1.0,0,1.0,
carbonscaler,0.2,128,2.134196,0.002134,0.004587,82808.626,21277.0,1259.0,1000,1.0,0,1.0,
themis_base,0.2,128,2.137741,0.002138,0.004594,82753.884,21235.0,1629.0,1000,1.0,0,1.0,
engine,0.2,256,2.129909,0.00213,0.004578,82700.917,21792.0,2642.0,1000,1.0,0,1.0,
k8,0.2,256,2.136622,0.002137,0.004592,82753.214,20939.0,1078.0,1000,1.0,0,1.0,
carbonscaler,0.2,256,2.132139,0.002132,0.004582,82815.253,21277.0,1282.0,1000,1.0,0,1.0,
themis_base,0.2,256,2.138815,0.002139,0.004597,82760.54,21235.0,1795.0,1000,1.0,0,1.0,
engine,0.8,32,2.122359,0.002122,0.004561,82702.802,21945.0,3265.0,1000,1.0,0,1.0,
k8,0.8,32,2.140991,0.002141,0.004601,82762.27,20939.0,1238.0,1000,1.0,0,1.0,
carbonscaler,0.8,32,2.108632,0.002109,0.004532,82664.372,21481.0,1399.0,1000,1.0,0,1.0,
themis_base,0.8,32,2.13259,0.002133,0.004583,82832.926,21639.0,1968.0,1000,1.0,0,1.0,
engine,0.8,128,2.14113,0.002141,0.004602,82715.972,21792.0,2967.0,1000,1.0,0,1.0,
k8,0.8,128,2.145478,0.002145,0.004611,82768.594,20939.0,851.0,1000,1.0,0,1.0,
carbonscaler,0.8,128,2.111668,0.002112,0.004538,82769.667,21669.0,1313.0,1000,1.0,0,1.0,
themis_base,0.8,128,2.137212,0.002137,0.004593,82775.718,21235.0,1715.0,1000,1.0,0,1.0,
engine,0.8,256,2.146012,0.002146,0.004612,82722.84,21792.0,2890.0,1000,1.0,0,1.0,
k8,0.8,256,2.142235,0.002142,0.004604,82775.388,20939.0,1218.0,1000,1.0,0,1.0,
carbonscaler,0.8,256,2.116475,0.002116,0.004549,82776.83,21669.0,1307.0,1000,1.0,0,1.0,
themis_base,0.8,256,2.130958,0.002131,0.00458,82782.874,21235.0,1581.0,1000,1.0,0,1.0,
engine,1.2,32,2.114386,0.002114,0.004544,82724.924,21945.0,2891.0,1000,1.0,0,1.0,
k8,1.2,32,2.140941,0.002141,0.004601,82784.016,20939.0,970.0,1000,1.0,0,1.0,
carbonscaler,1.2,32,2.152351,0.002152,0.004626,82771.326,21362.0,1164.0,1000,1.0,0,1.0,
themis_base,1.2,32,2.128026,0.002128,0.004574,82853.823,21639.0,1738.0,1000,1.0,0,1.0,
engine,1.2,128,2.150987,0.002151,0.004623,82736.64,21792.0,2884.0,1000,1.0,0,1.0,
k8,1.2,128,2.143775,0.002144,0.004607,82789.182,20939.0,975.0,1000,1.0,0,1.0,
carbonscaler,1.2,128,2.135091,0.002135,0.004589,82694.552,21415.0,1590.0,1000,1.0,0,1.0,
themis_base,1.2,128,2.128487,0.002128,0.004575,82796.706,21235.0,1665.0,1000,1.0,0,1.0,
engine,1.2,256,2.152601,0.002153,0.004626,82743.773,21792.0,2968.0,1000,1.0,0,1.0,
k8,1.2,256,2.14058,0.002141,0.004601,82796.4,20939.0,1039.0,1000,1.0,0,1.0,
carbonscaler,1.2,256,2.13132,0.002131,0.004581,82701.834,21415.0,1262.0,1000,1.0,0,1.0,
themis_base,1.2,256,2.129333,0.002129,0.004576,82803.66,21235.0,1564.0,1000,1.0,0,1.0,
