sched,job_id,node,submit,start,end,wait_ms,ci_cost
k8,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:15:53.13174053+02:00,76428131,0.000710
k8,job-1,burst-1,2025-10-19T17:00:00+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:23:34.13174053+02:00,76428131,0.004711
k8,job-2,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:17:15.13174053+02:00,76428131,0.002328
k8,job-3,med-0,2025-10-19T17:00:03+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:30.13174053+02:00,76425131,0.000179
k8,job-4,med-1,2025-10-19T17:00:04+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:22:54.13174053+02:00,76424131,0.006199
k8,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:16:14.13174053+02:00,76423131,0.000580
k8,job-6,burst-1,2025-10-19T17:00:05+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:15:54.13174053+02:00,76423131,0.000716
k8,job-7,med-2,2025-10-19T17:00:05+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:20:55.13174053+02:00,76423131,0.005604
k8,job-8,small-0,2025-10-19T17:00:05+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:39.13174053+02:00,76423131,0.000205
k8,job-9,med-0,2025-10-19T17:00:05+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:22:47.13174053+02:00,76423131,0.008029
k8,job-10,small-1,2025-10-19T17:00:05+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:40.13174053+02:00,76423131,0.000209
k8,job-12,gpu-0,2025-10-19T17:00:08+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:15:58.13174053+02:00,76420131,0.000516
k8,job-13,small-2,2025-10-19T17:00:09+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:37.13174053+02:00,76419131,0.000197
k8,job-14,small-3,2025-10-19T17:00:10+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:25.13174053+02:00,76418131,0.000149
k8,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:20.13174053+02:00,76416131,0.000129
k8,job-26,small-0,2025-10-19T17:00:19+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:33.13174053+02:00,76409131,0.000181
k8,job-27,small-1,2025-10-19T17:00:21+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:41.13174053+02:00,76407131,0.000213
k8,job-28,small-2,2025-10-19T17:00:21+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:25.13174053+02:00,76407131,0.000149
k8,job-29,small-3,2025-10-19T17:00:22+02:00,2025-10-20T14:13:48.13174053+02:00,2025-10-20T14:14:29.13174053+02:00,76406131,0.000165
