policy,ci_weight,batch_size,total_ci_cost_g,avg_ci_per_job_g,cfp_g_per_cpu_hour,avg_wait_s,makespan_s,elapsed_ms,num_jobs,alpha_mass,lookahead_min,duration_scale,duration_overrides
engine,0.050000,32,2.125371,0.002125,0.004568,82662.137000,21945.000000,2585.000,1000,1.0000,0,1.000,
k8,0.050000,32,2.143676,0.002144,0.004607,82720.924000,20939.000000,877.000,1000,1.0000,0,1.000,
carbonscaler,0.050000,32,2.138741,0.002139,0.004597,82782.683000,21277.000000,1187.000,1000,1.0000,0,1.000,
themis_base,0.050000,32,2.132946,0.002133,0.004584,82790.666000,21639.000000,1841.000,1000,1.0000,0,1.000,
engine,0.050000,128,2.123727,0.002124,0.004564,82673.585000,21792.000000,2717.000,1000,1.0000,0,1.000,
k8,0.050000,128,2.143129,0.002143,0.004606,82725.957000,20939.000000,931.000,1000,1.0000,0,1.000,
carbonscaler,0.050000,128,2.177376,0.002177,0.004680,82793.725000,20956.000000,1221.000,1000,1.0000,0,1.000,
themis_base,0.050000,128,2.135241,0.002135,0.004589,82733.072000,21235.000000,1731.000,1000,1.0000,0,1.000,
engine,0.050000,256,2.126348,0.002126,0.004570,82680.206000,21792.000000,2978.000,1000,1.0000,0,1.000,
k8,0.050000,256,2.141784,0.002142,0.004603,82732.843000,20939.000000,1000.000,1000,1.0000,0,1.000,
carbonscaler,0.050000,256,2.171161,0.002171,0.004666,82800.677000,20956.000000,1203.000,1000,1.0000,0,1.000,
themis_base,0.050000,256,2.138274,0.002138,0.004596,82740.004000,21235.000000,1766.000,1000,1.0000,0,1.000,
engine,0.200000,32,2.123119,0.002123,0.004563,82682.237000,21945.000000,2781.000,1000,1.0000,0,1.000,
k8,0.200000,32,2.134598,0.002135,0.004588,82741.219000,20939.000000,869.000,1000,1.0000,0,1.000,
carbonscaler,0.200000,32,2.134739,0.002135,0.004588,82803.126000,21277.000000,1332.000,1000,1.0000,0,1.000,
themis_base,0.200000,32,2.134877,0.002135,0.004588,82811.097000,21639.000000,1811.000,1000,1.0000,0,1.000,
engine,0.200000,128,2.123251,0.002123,0.004563,82693.986000,21792.000000,3093.000,1000,1.0000,0,1.000,
k8,0.200000,128,2.135536,0.002136,0.004590,82746.735000,20939.000000,933.000,1000,1.0000,0,1.000,
carbonscaler,0.200000,128,2.134196,0.002134,0.004587,82808.626000,21277.000000,1259.000,1000,1.0000,0,1.000,
themis_base,0.200000,128,2.137741,0.002138,0.004594,82753.884000,21235.000000,1629.000,1000,1.0000,0,1.000,
engine,0.200000,256,2.129909,0.002130,0.004578,82700.917000,21792.000000,2642.000,1000,1.0000,0,1.000,
k8,0.200000,256,2.136622,0.002137,0.004592,82753.214000,20939.000000,1078.000,1000,1.0000,0,1.000,
carbonscaler,0.200000,256,2.132139,0.002132,0.004582,82815.253000,21277.000000,1282.000,1000,1.0000,0,1.000,
themis_base,0.200000,256,2.138815,0.002139,0.004597,82760.540000,21235.000000,1795.000,1000,1.0000,0,1.000,
engine,0.800000,32,2.122359,0.002122,0.004561,82702.802000,21945.000000,3265.000,1000,1.0000,0,1.000,
k8,0.800000,32,2.140991,0.002141,0.004601,82762.270000,20939.000000,1238.000,1000,1.0000,0,1.000,
carbonscaler,0.800000,32,2.108632,0.002109,0.004532,82664.372000,21481.000000,1399.000,1000,1.0000,0,1.000,
themis_base,0.800000,32,2.132590,0.002133,0.004583,82832.926000,21639.000000,1968.000,1000,1.0000,0,1.000,
engine,0.800000,128,2.141130,0.002141,0.004602,82715.972000,21792.000000,2967.000,1000,1.0000,0,1.000,
k8,0.800000,128,2.145478,0.002145,0.004611,82768.594000,20939.000000,851.000,1000,1.0000,0,1.000,
carbonscaler,0.800000,128,2.111668,0.002112,0.004538,82769.667000,21669.000000,1313.000,1000,1.0000,0,1.000,
themis_base,0.800000,128,2.137212,0.002137,0.004593,82775.718000,21235.000000,1715.000,1000,1.0000,0,1.000,
engine,0.800000,256,2.146012,0.002146,0.004612,82722.840000,21792.000000,2890.000,1000,1.0000,0,1.000,
k8,0.800000,256,2.142235,0.002142,0.004604,82775.388000,20939.000000,1218.000,1000,1.0000,0,1.000,
carbonscaler,0.800000,256,2.116475,0.002116,0.004549,82776.830000,21669.000000,1307.000,1000,1.0000,0,1.000,
themis_base,0.800000,256,2.130958,0.002131,0.004580,82782.874000,21235.000000,1581.000,1000,1.0000,0,1.000,
engine,1.200000,32,2.114386,0.002114,0.004544,82724.924000,21945.000000,2891.000,1000,1.0000,0,1.000,
k8,1.200000,32,2.140941,0.002141,0.004601,82784.016000,20939.000000,970.000,1000,1.0000,0,1.000,
carbonscaler,1.200000,32,2.152351,0.002152,0.004626,82771.326000,21362.000000,1164.000,1000,1.0000,0,1.000,
themis_base,1.200000,32,2.128026,0.002128,0.004574,82853.823000,21639.000000,1738.000,1000,1.0000,0,1.000,
engine,1.200000,128,2.150987,0.002151,0.004623,82736.640000,21792.000000,2884.000,1000,1.0000,0,1.000,
k8,1.200000,128,2.143775,0.002144,0.004607,82789.182000,20939.000000,975.000,1000,1.0000,0,1.000,
carbonscaler,1.200000,128,2.135091,0.002135,0.004589,82694.552000,21415.000000,1590.000,1000,1.0000,0,1.000,
themis_base,1.200000,128,2.128487,0.002128,0.004575,82796.706000,21235.000000,1665.000,1000,1.0000,0,1.000,
engine,1.200000,256,2.152601,0.002153,0.004626,82743.773000,21792.000000,2968.000,1000,1.0000,0,1.000,
k8,1.200000,256,2.140580,0.002141,0.004601,82796.400000,20939.000000,1039.000,1000,1.0000,0,1.000,
carbonscaler,1.200000,256,2.131320,0.002131,0.004581,82701.834000,21415.000000,1262.000,1000,1.0000,0,1.000,
themis_base,1.200000,256,2.129333,0.002129,0.004576,82803.660000,21235.000000,1564.000,1000,1.0000,0,1.000,
