sched,job_id,node,submit,start,end,wait_ms,ci_cost
themis_base,job-0,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:16:16.108971971+02:00,76451108,0.000518
themis_base,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:23:57.108971971+02:00,76451108,0.004716
themis_base,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:17:38.108971971+02:00,76451108,0.004596
themis_base,job-3,small-0,2025-10-19T17:00:03+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:53.108971971+02:00,76448108,0.000169
themis_base,job-4,med-0,2025-10-19T17:00:04+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:23:17.108971971+02:00,76447108,0.006199
themis_base,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:16:37.108971971+02:00,76446108,0.000605
themis_base,job-6,burst-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:16:17.108971971+02:00,76446108,0.000717
themis_base,job-7,med-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:21:18.108971971+02:00,76446108,0.005604
themis_base,job-8,small-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:15:02.108971971+02:00,76446108,0.000205
themis_base,job-9,med-2,2025-10-19T17:00:05+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:23:10.108971971+02:00,76446108,0.008029
themis_base,job-10,small-2,2025-10-19T17:00:05+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:15:03.108971971+02:00,76446108,0.000209
themis_base,job-13,small-3,2025-10-19T17:00:09+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:15:00.108971971+02:00,76442108,0.000197
themis_base,job-14,small-4,2025-10-19T17:00:10+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:48.108971971+02:00,76441108,0.000149
themis_base,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:43.108971971+02:00,76439108,0.000129
themis_base,job-26,small-0,2025-10-19T17:00:19+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:56.108971971+02:00,76432108,0.000181
themis_base,job-27,small-3,2025-10-19T17:00:21+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:15:04.108971971+02:00,76430108,0.000213
themis_base,job-28,small-1,2025-10-19T17:00:21+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:48.108971971+02:00,76430108,0.000149
themis_base,job-29,small-2,2025-10-19T17:00:22+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:52.108971971+02:00,76429108,0.000165
themis_base,job-33,gpu-0,2025-10-19T17:00:30+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:19:27.108971971+02:00,76421108,0.002338
themis_base,job-49,small-4,2025-10-19T17:00:52+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:49.108971971+02:00,76399108,0.000153
themis_base,job-62,small-1,2025-10-19T17:01:02+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:15:08.108971971+02:00,76389108,0.000230
themis_base,job-76,small-2,2025-10-19T17:01:14+02:00,2025-10-20T14:14:11.108971971+02:00,2025-10-20T14:14:55.108971971+02:00,76377108,0.000177
