sched,job_id,node,submit,start,end,wait_ms,ci_cost
carbonscaler,job-0,gpu-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:02:05+02:00,0,0.000282
carbonscaler,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:09:46+02:00,0,0.003540
carbonscaler,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:03:27+02:00,0,0.003450
carbonscaler,job-3,gpu-0,2025-10-19T17:00:03+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:47+02:00,122000,0.000117
carbonscaler,job-4,gpu-0,2025-10-19T17:00:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:11+02:00,121000,0.002431
carbonscaler,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:31+02:00,120000,0.000467
carbonscaler,job-6,burst-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:11+02:00,120000,0.000577
carbonscaler,job-7,med-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:09:12+02:00,120000,0.005604
carbonscaler,job-8,small-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:56+02:00,120000,0.000205
carbonscaler,job-9,med-1,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:04+02:00,120000,0.008029
carbonscaler,job-10,small-1,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:57+02:00,120000,0.000209
carbonscaler,job-11,gpu-0,2025-10-19T17:00:07+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:42+02:00,118000,0.000502
carbonscaler,job-13,small-2,2025-10-19T17:00:09+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:54+02:00,116000,0.000197
carbonscaler,job-14,small-3,2025-10-19T17:00:10+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,115000,0.000149
carbonscaler,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:37+02:00,113000,0.000129
carbonscaler,job-17,med-2,2025-10-19T17:00:12+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:02+02:00,113000,0.008950
carbonscaler,job-26,small-0,2025-10-19T17:00:19+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:50+02:00,106000,0.000181
carbonscaler,job-27,small-1,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:58+02:00,104000,0.000213
carbonscaler,job-28,small-2,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,104000,0.000149
carbonscaler,job-29,small-3,2025-10-19T17:00:22+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:46+02:00,103000,0.000165
carbonscaler,job-49,small-4,2025-10-19T17:00:52+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:43+02:00,73000,0.000153
carbonscaler,job-62,small-0,2025-10-19T17:01:02+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,63000,0.000230
carbonscaler,job-76,small-1,2025-10-19T17:01:14+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:49+02:00,51000,0.000177
carbonscaler,job-80,small-2,2025-10-19T17:01:22+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,43000,0.000230
carbonscaler,job-87,small-3,2025-10-19T17:01:28+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:47+02:00,37000,0.000169
carbonscaler,job-95,small-4,2025-10-19T17:01:34+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:00+02:00,31000,0.000222
carbonscaler,job-98,small-0,2025-10-19T17:01:38+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:53+02:00,27000,0.000193
carbonscaler,job-100,small-1,2025-10-19T17:01:39+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:59+02:00,26000,0.000218
carbonscaler,job-101,small-2,2025-10-19T17:01:42+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:01+02:00,23000,0.000226
carbonscaler,job-105,small-3,2025-10-19T17:01:45+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,20000,0.000230
