sched,job_id,node,submit,start,end,wait_ms,ci_cost
engine,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:02:05+02:00,0,0.000534
engine,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:09:46+02:00,0,0.003540
engine,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:03:27+02:00,0,0.003450
engine,job-3,burst-0,2025-10-19T17:00:03+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:47+02:00,122000,0.000152
engine,job-4,burst-0,2025-10-19T17:00:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:11+02:00,121000,0.004055
engine,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:31+02:00,120000,0.000467
engine,job-6,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:11+02:00,120000,0.000403
engine,job-7,burst-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:09:12+02:00,120000,0.003577
engine,job-8,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:56+02:00,120000,0.000142
engine,job-9,med-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:04+02:00,120000,0.008029
engine,job-10,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:57+02:00,120000,0.000145
engine,job-13,gpu-0,2025-10-19T17:00:09+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:54+02:00,116000,0.000136
engine,job-14,gpu-0,2025-10-19T17:00:10+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,115000,0.000103
engine,job-16,gpu-0,2025-10-19T17:00:12+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:37+02:00,113000,0.000089
engine,job-17,med-1,2025-10-19T17:00:12+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:02+02:00,113000,0.008950
engine,job-26,gpu-0,2025-10-19T17:00:19+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:50+02:00,106000,0.000125
engine,job-27,gpu-0,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:58+02:00,104000,0.000147
engine,job-28,gpu-0,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,104000,0.000103
engine,job-29,gpu-0,2025-10-19T17:00:22+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:46+02:00,103000,0.000114
engine,job-33,med-2,2025-10-19T17:00:30+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:07:21+02:00,95000,0.005267
engine,job-49,gpu-0,2025-10-19T17:00:52+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:43+02:00,73000,0.000106
engine,job-62,med-0,2025-10-19T17:01:02+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,63000,0.000243
engine,job-76,small-0,2025-10-19T17:01:14+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:49+02:00,51000,0.000177
engine,job-80,small-0,2025-10-19T17:01:22+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,43000,0.000230
engine,job-87,small-0,2025-10-19T17:01:28+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:47+02:00,37000,0.000169
engine,job-95,small-0,2025-10-19T17:01:34+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:00+02:00,31000,0.000222
engine,job-98,small-1,2025-10-19T17:01:38+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:53+02:00,27000,0.000193
engine,job-100,small-1,2025-10-19T17:01:39+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:59+02:00,26000,0.000218
engine,job-101,small-1,2025-10-19T17:01:42+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:01+02:00,23000,0.000226
engine,job-105,small-1,2025-10-19T17:01:45+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,20000,0.000230
engine,job-108,small-2,2025-10-19T17:01:46+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,19000,0.000149
engine,job-113,small-2,2025-10-19T17:01:57+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:39+02:00,8000,0.000137
engine,job-118,small-2,2025-10-19T17:02:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:54+02:00,1000,0.000197
engine,job-119,small-2,2025-10-19T17:02:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:40+02:00,1000,0.000141
engine,job-121,gpu-0,2025-10-19T17:02:07+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:17+02:00,30000,0.000120
engine,job-122,small-3,2025-10-19T17:02:08+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:30+02:00,29000,0.000213
engine,job-127,small-3,2025-10-19T17:02:11+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:27+02:00,26000,0.000201
engine,job-130,small-3,2025-10-19T17:02:16+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:25+02:00,21000,0.000193
engine,job-133,small-3,2025-10-19T17:02:21+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:14+02:00,16000,0.000149
engine,job-136,small-4,2025-10-19T17:02:22+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:23+02:00,15000,0.000185
engine,job-137,small-4,2025-10-19T17:02:22+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:34+02:00,15000,0.000230
engine,job-144,small-4,2025-10-19T17:02:27+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:17+02:00,10000,0.000161
engine,job-147,small-4,2025-10-19T17:02:29+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:15+02:00,8000,0.000153
engine,job-151,small-2,2025-10-19T17:02:35+02:00,2025-10-19T17:02:39+02:00,2025-10-19T17:03:27+02:00,4000,0.000193
engine,job-114,gpu-0,2025-10-19T17:01:59+02:00,2025-10-19T17:02:46+02:00,2025-10-19T17:09:29+02:00,47000,0.001967
engine,job-158,small-2,2025-10-19T17:02:45+02:00,2025-10-19T17:02:46+02:00,2025-10-19T17:03:19+02:00,1000,0.000133
engine,job-160,burst-0,2025-10-19T17:02:47+02:00,2025-10-19T17:02:47+02:00,2025-10-19T17:03:26+02:00,0,0.000145
engine,job-161,small-0,2025-10-19T17:02:47+02:00,2025-10-19T17:02:47+02:00,2025-10-19T17:03:27+02:00,0,0.000161
engine,job-164,gpu-0,2025-10-19T17:02:50+02:00,2025-10-19T17:02:50+02:00,2025-10-19T17:03:44+02:00,0,0.000166
engine,job-172,gpu-0,2025-10-19T17:02:57+02:00,2025-10-19T17:02:57+02:00,2025-10-19T17:03:40+02:00,0,0.000134
engine,job-139,small-1,2025-10-19T17:02:23+02:00,2025-10-19T17:03:02+02:00,2025-10-19T17:09:47+02:00,39000,0.004500
engine,job-176,gpu-0,2025-10-19T17:03:02+02:00,2025-10-19T17:03:02+02:00,2025-10-19T17:03:41+02:00,0,0.000123
engine,job-180,gpu-0,2025-10-19T17:03:04+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:04:10+02:00,10000,0.000181
engine,job-181,gpu-0,2025-10-19T17:03:05+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:03:50+02:00,9000,0.000116
engine,job-183,med-0,2025-10-19T17:03:05+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:04:09+02:00,9000,0.000235
engine,job-184,small-0,2025-10-19T17:03:05+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:03:48+02:00,9000,0.000137
engine,job-187,small-0,2025-10-19T17:03:09+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:04:08+02:00,5000,0.000218
engine,job-189,small-0,2025-10-19T17:03:12+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:03:52+02:00,2000,0.000153
engine,job-190,small-2,2025-10-19T17:03:12+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:04:05+02:00,2000,0.000205
engine,job-191,small-2,2025-10-19T17:03:13+02:00,2025-10-19T17:03:14+02:00,2025-10-19T17:04:11+02:00,1000,0.000230
engine,job-11,burst-1,2025-10-19T17:00:07+02:00,2025-10-19T17:03:27+02:00,2025-10-19T17:06:04+02:00,200000,0.000750
engine,job-37,burst-1,2025-10-19T17:00:33+02:00,2025-10-19T17:03:27+02:00,2025-10-19T17:13:07+02:00,174000,0.005065
engine,job-197,burst-0,2025-10-19T17:03:27+02:00,2025-10-19T17:03:27+02:00,2025-10-19T17:04:18+02:00,0,0.000193
engine,job-202,gpu-0,2025-10-19T17:03:36+02:00,2025-10-19T17:03:40+02:00,2025-10-19T17:04:28+02:00,4000,0.000163
engine,job-206,gpu-0,2025-10-19T17:03:44+02:00,2025-10-19T17:03:44+02:00,2025-10-19T17:04:28+02:00,0,0.000151
engine,job-208,gpu-0,2025-10-19T17:03:44+02:00,2025-10-19T17:03:44+02:00,2025-10-19T17:04:16+02:00,0,0.000110
engine,job-211,gpu-0,2025-10-19T17:03:46+02:00,2025-10-19T17:03:48+02:00,2025-10-19T17:04:21+02:00,2000,0.000114
engine,job-214,gpu-0,2025-10-19T17:03:51+02:00,2025-10-19T17:03:52+02:00,2025-10-19T17:04:35+02:00,1000,0.000150
engine,job-215,small-0,2025-10-19T17:03:53+02:00,2025-10-19T17:04:05+02:00,2025-10-19T17:04:41+02:00,12000,0.000145
engine,job-216,small-0,2025-10-19T17:03:53+02:00,2025-10-19T17:04:05+02:00,2025-10-19T17:04:58+02:00,12000,0.000213
engine,job-218,small-0,2025-10-19T17:03:55+02:00,2025-10-19T17:04:05+02:00,2025-10-19T17:04:50+02:00,10000,0.000181
engine,job-220,small-2,2025-10-19T17:03:56+02:00,2025-10-19T17:04:05+02:00,2025-10-19T17:04:51+02:00,9000,0.000185
engine,job-229,small-0,2025-10-19T17:04:08+02:00,2025-10-19T17:04:08+02:00,2025-10-19T17:05:05+02:00,0,0.000230
engine,job-12,gpu-0,2025-10-19T17:00:08+02:00,2025-10-19T17:04:11+02:00,2025-10-19T17:06:21+02:00,243000,0.000539
engine,job-36,gpu-0,2025-10-19T17:00:32+02:00,2025-10-19T17:04:11+02:00,2025-10-19T17:09:02+02:00,219000,0.003257
engine,job-230,med-0,2025-10-19T17:04:11+02:00,2025-10-19T17:04:11+02:00,2025-10-19T17:05:03+02:00,0,0.000222
engine,job-237,gpu-0,2025-10-19T17:04:16+02:00,2025-10-19T17:04:16+02:00,2025-10-19T17:04:58+02:00,0,0.000153
engine,job-238,small-2,2025-10-19T17:04:16+02:00,2025-10-19T17:04:16+02:00,2025-10-19T17:05:14+02:00,0,0.000234
engine,job-243,burst-0,2025-10-19T17:04:21+02:00,2025-10-19T17:04:21+02:00,2025-10-19T17:04:51+02:00,0,0.000116
engine,job-248,gpu-0,2025-10-19T17:04:25+02:00,2025-10-19T17:04:28+02:00,2025-10-19T17:05:02+02:00,3000,0.000126
engine,job-250,gpu-0,2025-10-19T17:04:26+02:00,2025-10-19T17:04:28+02:00,2025-10-19T17:05:22+02:00,2000,0.000201
engine,job-251,small-3,2025-10-19T17:04:27+02:00,2025-10-19T17:04:28+02:00,2025-10-19T17:10:29+02:00,1000,0.004011
engine,job-15,gpu-0,2025-10-19T17:00:12+02:00,2025-10-19T17:04:31+02:00,2025-10-19T17:07:12+02:00,259000,0.000692
engine,job-205,gpu-0,2025-10-19T17:03:43+02:00,2025-10-19T17:04:31+02:00,2025-10-19T17:11:35+02:00,48000,0.002298
engine,job-255,small-2,2025-10-19T17:04:30+02:00,2025-10-19T17:04:31+02:00,2025-10-19T17:05:14+02:00,1000,0.000173
engine,job-259,gpu-0,2025-10-19T17:04:37+02:00,2025-10-19T17:04:41+02:00,2025-10-19T17:05:16+02:00,4000,0.000133
engine,job-271,small-0,2025-10-19T17:04:42+02:00,2025-10-19T17:04:50+02:00,2025-10-19T17:05:49+02:00,8000,0.000238
engine,job-275,small-0,2025-10-19T17:04:49+02:00,2025-10-19T17:04:50+02:00,2025-10-19T17:05:28+02:00,1000,0.000153
engine,job-276,burst-0,2025-10-19T17:04:52+02:00,2025-10-19T17:04:58+02:00,2025-10-19T17:05:48+02:00,6000,0.000197
engine,job-279,gpu-0,2025-10-19T17:04:57+02:00,2025-10-19T17:04:58+02:00,2025-10-19T17:05:36+02:00,1000,0.000149
engine,job-281,gpu-0,2025-10-19T17:05:03+02:00,2025-10-19T17:05:03+02:00,2025-10-19T17:05:43+02:00,0,0.000079
engine,job-284,med-0,2025-10-19T17:05:04+02:00,2025-10-19T17:05:05+02:00,2025-10-19T17:06:03+02:00,1000,0.000248
