sched,job_id,node,submit,start,end,wait_ms,ci_cost
k8,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:02:05+02:00,0,0.000534
k8,job-1,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:09:46+02:00,0,0.003540
k8,job-2,gpu-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:03:27+02:00,0,0.001323
k8,job-3,burst-0,2025-10-19T17:00:03+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:47+02:00,122000,0.000152
k8,job-4,med-0,2025-10-19T17:00:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:11+02:00,121000,0.006199
k8,job-5,burst-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:31+02:00,120000,0.000669
k8,job-6,burst-1,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:11+02:00,120000,0.000577
k8,job-7,med-1,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:09:12+02:00,120000,0.005604
k8,job-8,med-2,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:56+02:00,120000,0.000218
k8,job-9,med-2,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:04+02:00,120000,0.008029
k8,job-10,small-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:57+02:00,120000,0.000209
k8,job-11,gpu-0,2025-10-19T17:00:07+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:42+02:00,118000,0.000502
k8,job-12,gpu-0,2025-10-19T17:00:08+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:15+02:00,117000,0.000416
k8,job-13,small-1,2025-10-19T17:00:09+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:54+02:00,116000,0.000197
k8,job-14,small-2,2025-10-19T17:00:10+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,115000,0.000149
k8,job-16,small-3,2025-10-19T17:00:12+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:37+02:00,113000,0.000129
k8,job-26,small-4,2025-10-19T17:00:19+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:50+02:00,106000,0.000181
k8,job-27,small-0,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:58+02:00,104000,0.000213
k8,job-28,small-1,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,104000,0.000149
k8,job-29,small-2,2025-10-19T17:00:22+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:46+02:00,103000,0.000165
k8,job-33,gpu-0,2025-10-19T17:00:30+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:07:21+02:00,95000,0.001803
k8,job-49,small-3,2025-10-19T17:00:52+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:43+02:00,73000,0.000153
k8,job-62,small-4,2025-10-19T17:01:02+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,63000,0.000230
k8,job-76,small-0,2025-10-19T17:01:14+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:49+02:00,51000,0.000177
k8,job-80,small-1,2025-10-19T17:01:22+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,43000,0.000230
k8,job-87,small-2,2025-10-19T17:01:28+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:47+02:00,37000,0.000169
k8,job-95,small-3,2025-10-19T17:01:34+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:00+02:00,31000,0.000222
k8,job-98,small-4,2025-10-19T17:01:38+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:53+02:00,27000,0.000193
k8,job-100,med-0,2025-10-19T17:01:39+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:59+02:00,26000,0.000231
k8,job-101,burst-0,2025-10-19T17:01:42+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:01+02:00,23000,0.000203
k8,job-105,med-0,2025-10-19T17:01:45+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:03:02+02:00,20000,0.000243
k8,job-108,small-0,2025-10-19T17:01:46+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,19000,0.000149
k8,job-113,small-1,2025-10-19T17:01:57+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:39+02:00,8000,0.000137
k8,job-118,small-2,2025-10-19T17:02:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:54+02:00,1000,0.000197
k8,job-119,small-3,2025-10-19T17:02:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:40+02:00,1000,0.000141
k8,job-121,small-3,2025-10-19T17:02:07+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:17+02:00,30000,0.000161
k8,job-122,small-4,2025-10-19T17:02:08+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:30+02:00,29000,0.000213
k8,job-127,burst-0,2025-10-19T17:02:11+02:00,2025-10-19T17:02:37+02:00,2025-10-19T17:03:27+02:00,26000,0.000185
