sched,job_id,node,submit,start,end,wait_ms,ci_cost
themis_base,job-0,gpu-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:02:05+02:00,0,0.000282
themis_base,job-1,burst-0,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:09:46+02:00,0,0.003540
themis_base,job-2,burst-1,2025-10-19T17:00:00+02:00,2025-10-19T17:00:00+02:00,2025-10-19T17:03:27+02:00,0,0.003450
themis_base,job-3,gpu-0,2025-10-19T17:00:03+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:47+02:00,122000,0.000117
themis_base,job-4,med-0,2025-10-19T17:00:04+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:11+02:00,121000,0.006199
themis_base,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:31+02:00,120000,0.000467
themis_base,job-6,gpu-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:11+02:00,120000,0.000403
themis_base,job-7,med-1,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:09:12+02:00,120000,0.005604
themis_base,job-8,small-0,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:56+02:00,120000,0.000205
themis_base,job-9,med-2,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:11:04+02:00,120000,0.008029
themis_base,job-10,small-1,2025-10-19T17:00:05+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:57+02:00,120000,0.000209
themis_base,job-11,burst-0,2025-10-19T17:00:07+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:04:42+02:00,118000,0.000719
themis_base,job-13,small-2,2025-10-19T17:00:09+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:54+02:00,116000,0.000197
themis_base,job-14,small-3,2025-10-19T17:00:10+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,115000,0.000149
themis_base,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:37+02:00,113000,0.000129
themis_base,job-26,small-4,2025-10-19T17:00:19+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:50+02:00,106000,0.000181
themis_base,job-27,small-4,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:58+02:00,104000,0.000213
themis_base,job-28,small-4,2025-10-19T17:00:21+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:42+02:00,104000,0.000149
themis_base,job-29,small-3,2025-10-19T17:00:22+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:02:46+02:00,103000,0.000165
themis_base,job-33,gpu-0,2025-10-19T17:00:30+02:00,2025-10-19T17:02:05+02:00,2025-10-19T17:07:21+02:00,95000,0.001803
